frameData,frameData_error,frameData_frameNum,frameData_numDetectedPoints,frameData_numDetectedTracks,frameData_trackIndexes,stamp_button_pressed,timestamp,tid,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11,pointx12,pointy12,pointz12,doppler12,snr12
"{'error': 0, 'frameNum': 412, 'pointCloud': [[-1.4719963073730469, 3.2393932342529297, 0.0, -0.3835020959377289, 18.75, 67.0, 255.0], [-1.5642642974853516, 3.336310386657715, 0.0, -0.3835020959377289, 12.75, 66.0, 255.0], [-1.0925531387329102, 3.156423568725586, 0.0, -0.7670041918754578, 23.0, 65.0, 255.0], [-1.1926889419555664, 3.2411813735961914, 0.0, -0.7670041918754578, 21.0, 68.0, 255.0], [-0.08082389831542969, 2.9751062393188477, 0.0, -0.9587552398443222, 22.75, 66.0, 255.0], [0.1691579818725586, 2.76947021484375, 0.0, -0.9587552398443222, 20.0, 66.0, 255.0], [0.12624263763427734, 2.8356313705444336, 0.0, -0.9587552398443222, 28.75, 66.0, 255.0], [0.10192394256591797, 2.8628110885620117, 0.0, -0.9587552398443222, 29.25, 66.0, 255.0]], 'numDetectedPoints': 8, 'numDetectedTracks': 1, 'trackData': [[0.0, -0.23663631081581116, 2.9879539012908936, 0.00260344659909606, -0.05206583812832832, -0.6029782295227051, -0.09530086815357208, 0.07462381571531296, -0.7825573086738586, -0.020033681765198708, 3.0, 0.946855902671814, 8.243910418263e-312, 8.243910418263e-312, 8.243910427275e-312, 8.243910427275e-312]], 'trackIndexes': [255.0, 255.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0,412,8,1,"[255.0, 255.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,1754507375759.8752,0.0,0.00260344659909606,2.9879539012908936,-0.23663631081581116,-0.09530086815357208,-0.6029782295227051,-0.05206583812832832,-0.020033681765198708,-0.7825573086738586,0.07462381571531296,0.0,3.2393932342529297,-1.4719963073730469,-0.3835020959377289,18.75,0.0,3.336310386657715,-1.5642642974853516,-0.3835020959377289,12.75,0.0,3.156423568725586,-1.0925531387329102,-0.7670041918754578,23.0,0.0,3.2411813735961914,-1.1926889419555664,-0.7670041918754578,21.0,0.0,2.9751062393188477,-0.08082389831542969,-0.9587552398443222,22.75,0.0,2.76947021484375,0.1691579818725586,-0.9587552398443222,20.0,0.0,2.8356313705444336,0.12624263763427734,-0.9587552398443222,28.75,0.0,2.8628110885620117,0.10192394256591797,-0.9587552398443222,29.25,,,,,,,,,,,,,,,,,,,,
"{'error': 0, 'frameNum': 413, 'pointCloud': [[-0.8647441864013672, 3.1474828720092773, 0.0, -0.9587552398443222, 18.25, 67.0, 255.0], [-0.905156135559082, 3.2622814178466797, 0.0, -0.5752531439065933, 13.75, 68.0, 255.0], [-0.5822181701660156, 2.980828285217285, 0.0, -0.5752531439065933, 18.75, 66.0, 255.0], [0.04291534423828125, 2.8063058853149414, 0.0, -1.1505062878131866, 26.0, 66.0, 255.0], [0.1323223114013672, 2.7211904525756836, 0.0, -1.1505062878131866, 24.75, 66.0, 255.0], [0.0947713851928711, 2.7573108673095703, 0.0, -1.1505062878131866, 29.0, 67.0, 255.0]], 'numDetectedPoints': 6, 'numDetectedTracks': 1, 'trackData': [[0.0, -0.22889967262744904, 2.8994405269622803, -0.003113169688731432, -0.013885241001844406, -0.7875235676765442, -0.08887477219104767, 0.11237484961748123, -0.9992506504058838, -0.011914286762475967, 3.0, 0.9521703124046326, 8.243910418263e-312, 8.243910418263e-312, 8.243910427275e-312, 8.243910427275e-312]], 'trackIndexes': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0,413,6,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,1754507375855.5554,0.0,-0.003113169688731432,2.8994405269622803,-0.22889967262744904,-0.08887477219104767,-0.7875235676765442,-0.013885241001844406,-0.011914286762475967,-0.9992506504058838,0.11237484961748123,0.0,3.1474828720092773,-0.8647441864013672,-0.9587552398443222,18.25,0.0,3.2622814178466797,-0.905156135559082,-0.5752531439065933,13.75,0.0,2.980828285217285,-0.5822181701660156,-0.5752531439065933,18.75,0.0,2.8063058853149414,0.04291534423828125,-1.1505062878131866,26.0,0.0,2.7211904525756836,0.1323223114013672,-1.1505062878131866,24.75,0.0,2.7573108673095703,0.0947713851928711,-1.1505062878131866,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'error': 0, 'frameNum': 414, 'pointCloud': [[-1.9297599792480469, 3.18145751953125, 0.0, -0.9587552398443222, 12.5, 66.0, 255.0], [-1.512765884399414, 3.099203109741211, 0.0, -0.5752531439065933, 18.5, 67.0, 255.0], [-1.6644001007080078, 3.1614303588867188, 0.0, -0.5752531439065933, 17.0, 66.0, 255.0], [-1.1394023895263672, 3.0927658081054688, 0.0, -0.5752531439065933, 17.5, 69.0, 255.0], [-0.7581710815429688, 2.845287322998047, 0.0, -1.5340083837509155, 16.25, 66.0, 255.0], [-0.8482933044433594, 3.0426979064941406, 0.0, -0.7670041918754578, 19.0, 66.0, 255.0], [0.05936622619628906, 2.6482343673706055, 0.0, -1.342257335782051, 20.75, 66.0, 255.0], [0.13554096221923828, 2.5309324264526367, 0.0, -1.342257335782051, 17.75, 66.0, 255.0], [0.08404254913330078, 2.5910139083862305, 0.0, -1.342257335782051, 23.0, 66.0, 255.0], [-0.4538297653198242, 3.1957626342773438, 0.0, 0.0, 20.0, 71.0, 255.0]], 'numDetectedPoints': 10, 'numDetectedTracks': 1, 'trackData': [[0.0, -0.26636871695518494, 2.7920870780944824, -0.006669703871011734, -0.0681411549448967, -0.9840649962425232, -0.07858218997716904, 0.06312408298254013, -1.1807358264923096, -3.142654895782471e-05, 3.0, 0.9569532871246338, 8.243910418263e-312, 8.243910418263e-312, 8.243910427275e-312, 8.243910427275e-312]], 'trackIndexes': [255.0, 255.0, 255.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0,414,10,1,"[255.0, 255.0, 255.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,1754507375949.3076,0.0,-0.006669703871011734,2.7920870780944824,-0.26636871695518494,-0.07858218997716904,-0.9840649962425232,-0.0681411549448967,-3.142654895782471e-05,-1.1807358264923096,0.06312408298254013,0.0,3.18145751953125,-1.9297599792480469,-0.9587552398443222,12.5,0.0,3.099203109741211,-1.512765884399414,-0.5752531439065933,18.5,0.0,3.1614303588867188,-1.6644001007080078,-0.5752531439065933,17.0,0.0,3.0927658081054688,-1.1394023895263672,-0.5752531439065933,17.5,0.0,2.845287322998047,-0.7581710815429688,-1.5340083837509155,16.25,0.0,3.0426979064941406,-0.8482933044433594,-0.7670041918754578,19.0,0.0,2.6482343673706055,0.05936622619628906,-1.342257335782051,20.75,0.0,2.5309324264526367,0.13554096221923828,-1.342257335782051,17.75,0.0,2.5910139083862305,0.08404254913330078,-1.342257335782051,23.0,0.0,3.1957626342773438,-0.4538297653198242,0.0,20.0,,,,,,,,,,
"{'error': 0, 'frameNum': 415, 'pointCloud': [[-1.5431642532348633, 3.051280975341797, 0.0, -0.9587552398443222, 20.25, 67.0, 255.0], [-1.6132593154907227, 3.16464900970459, 0.0, -0.9587552398443222, 17.0, 67.0, 255.0], [-1.1744499206542969, 2.9064416885375977, 0.0, -1.342257335782051, 19.75, 69.0, 255.0], [-1.3489723205566406, 2.983689308166504, 0.0, -1.342257335782051, 20.5, 68.0, 255.0], [-0.972747802734375, 2.780914306640625, 0.0, -1.5340083837509155, 20.75, 66.0, 255.0], [-0.38373470306396484, 2.6417970657348633, 0.0, -1.342257335782051, 22.75, 66.0, 255.0], [0.037550926208496094, 2.4254322052001953, 0.0, -1.72575943171978, 26.75, 66.0, 255.0], [-0.04184246063232422, 2.504110336303711, 0.0, -1.342257335782051, 26.0, 66.0, 255.0], [0.08726119995117188, 2.3546218872070312, 0.0, -1.72575943171978, 21.5, 66.0, 255.0]], 'numDetectedPoints': 9, 'numDetectedTracks': 1, 'trackData': [[0.0, -0.331890344619751, 2.650902509689331, -0.00749999238178134, -0.16521063446998596, -1.2515608072280884, -0.06240193545818329, -0.02067018300294876, -1.448870301246643, 0.018616165965795517, 3.0, 0.9612579345703125, 8.243910418263e-312, 8.243910418263e-312, 8.243910427275e-312, 8.243910427275e-312]], 'trackIndexes': [255.0, 255.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0,415,9,1,"[255.0, 255.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,1754507376060.4702,0.0,-0.00749999238178134,2.650902509689331,-0.331890344619751,-0.06240193545818329,-1.2515608072280884,-0.16521063446998596,0.018616165965795517,-1.448870301246643,-0.02067018300294876,0.0,3.051280975341797,-1.5431642532348633,-0.9587552398443222,20.25,0.0,3.16464900970459,-1.6132593154907227,-0.9587552398443222,17.0,0.0,2.9064416885375977,-1.1744499206542969,-1.342257335782051,19.75,0.0,2.983689308166504,-1.3489723205566406,-1.342257335782051,20.5,0.0,2.780914306640625,-0.972747802734375,-1.5340083837509155,20.75,0.0,2.6417970657348633,-0.38373470306396484,-1.342257335782051,22.75,0.0,2.4254322052001953,0.037550926208496094,-1.72575943171978,26.75,0.0,2.504110336303711,-0.04184246063232422,-1.342257335782051,26.0,0.0,2.3546218872070312,0.08726119995117188,-1.72575943171978,21.5,,,,,,,,,,,,,,,
"{'error': 0, 'frameNum': 416, 'pointCloud': [[-1.6461610794067383, 2.9386281967163086, 0.0, -2.109261527657509, 16.25, 67.0, 255.0], [-1.5635490417480469, 3.0788183212280273, 0.0, -2.109261527657509, 17.75, 67.0, 255.0], [-1.466989517211914, 3.2215118408203125, 0.0, -1.342257335782051, 14.0, 67.0, 255.0], [-1.028895378112793, 2.7036666870117188, 0.0, -1.72575943171978, 13.25, 67.0, 255.0], [-0.6312131881713867, 2.6056766510009766, 0.0, -1.72575943171978, 15.75, 66.0, 255.0], [-0.4062652587890625, 2.295970916748047, 0.0, -1.72575943171978, 17.5, 66.0, 255.0], [-0.4495382308959961, 2.4633407592773438, 0.0, -1.72575943171978, 18.75, 66.0, 255.0], [-0.35440921783447266, 2.3682117462158203, 0.0, -1.72575943171978, 20.75, 66.0, 255.0]], 'numDetectedPoints': 8, 'numDetectedTracks': 1, 'trackData': [[0.0, -0.5188066959381104, 2.491898775100708, -0.00667679263278842, -0.4886772632598877, -1.5671577453613281, -0.0427599772810936, -0.3270311653614044, -1.7802258729934692, 0.040291398763656616, 3.0, 0.9651321172714233, 8.243910418263e-312, 8.243910418263e-312, 8.243910427275e-312, 8.243910427275e-312]], 'trackIndexes': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0,416,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,1754507376160.0508,0.0,-0.00667679263278842,2.491898775100708,-0.5188066959381104,-0.0427599772810936,-1.5671577453613281,-0.4886772632598877,0.040291398763656616,-1.7802258729934692,-0.3270311653614044,0.0,2.9386281967163086,-1.6461610794067383,-2.109261527657509,16.25,0.0,3.0788183212280273,-1.5635490417480469,-2.109261527657509,17.75,0.0,3.2215118408203125,-1.466989517211914,-1.342257335782051,14.0,0.0,2.7036666870117188,-1.028895378112793,-1.72575943171978,13.25,0.0,2.6056766510009766,-0.6312131881713867,-1.72575943171978,15.75,0.0,2.295970916748047,-0.4062652587890625,-1.72575943171978,17.5,0.0,2.4633407592773438,-0.4495382308959961,-1.72575943171978,18.75,0.0,2.3682117462158203,-0.35440921783447266,-1.72575943171978,20.75,,,,,,,,,,,,,,,,,,,,
"{'error': 0, 'frameNum': 417, 'pointCloud': [[-1.477360725402832, 2.562403678894043, 0.0, -2.684514671564102, 17.0, 69.0, 255.0], [-1.5156269073486328, 2.682209014892578, 0.0, -2.4927636235952377, 17.5, 68.0, 255.0], [-1.4165639877319336, 2.920389175415039, 0.0, -2.4927636235952377, 16.0, 67.0, 255.0], [-1.4058351516723633, 3.1042098999023438, 0.0, -0.19175104796886444, 14.5, 67.0, 255.0], [-1.118302345275879, 2.534151077270508, 0.0, -2.684514671564102, 14.0, 69.0, 255.0], [-0.7971525192260742, 2.3653507232666016, 0.0, -1.1505062878131866, 17.5, 66.0, 255.0], [-0.5872249603271484, 2.214789390563965, 0.0, -1.1505062878131866, 22.5, 66.0, 255.0], [-0.40268898010253906, 2.141118049621582, 0.0, -1.5340083837509155, 25.25, 66.0, 255.0], [-0.3161430358886719, 2.083897590637207, 0.0, -1.342257335782051, 12.75, 77.0, 255.0], [-0.37086009979248047, 3.041982650756836, 0.0, 0.0, 17.25, 72.0, 255.0]], 'numDetectedPoints': 10, 'numDetectedTracks': 1, 'trackData': [[0.0, -0.645362377166748, 2.3068349361419678, -0.005831959191709757, -0.6374673843383789, -1.8650383949279785, -0.025725960731506348, -0.4085691571235657, -2.004235029220581, 0.055854231119155884, 3.0, 0.9686189293861389, 8.243910418263e-312, 8.243910418263e-312, 8.243910427275e-312, 8.243910427275e-312]], 'trackIndexes': [0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0,417,10,1,"[0.0, 0.0, 0.0, 255.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,1754507376260.607,0.0,-0.005831959191709757,2.3068349361419678,-0.645362377166748,-0.025725960731506348,-1.8650383949279785,-0.6374673843383789,0.055854231119155884,-2.004235029220581,-0.4085691571235657,0.0,2.562403678894043,-1.477360725402832,-2.684514671564102,17.0,0.0,2.682209014892578,-1.5156269073486328,-2.4927636235952377,17.5,0.0,2.920389175415039,-1.4165639877319336,-2.4927636235952377,16.0,0.0,3.1042098999023438,-1.4058351516723633,-0.19175104796886444,14.5,0.0,2.534151077270508,-1.118302345275879,-2.684514671564102,14.0,0.0,2.3653507232666016,-0.7971525192260742,-1.1505062878131866,17.5,0.0,2.214789390563965,-0.5872249603271484,-1.1505062878131866,22.5,0.0,2.141118049621582,-0.40268898010253906,-1.5340083837509155,25.25,0.0,2.083897590637207,-0.3161430358886719,-1.342257335782051,12.75,0.0,3.041982650756836,-0.37086009979248047,0.0,17.25,,,,,,,,,,
"{'error': 0, 'frameNum': 418, 'pointCloud': [[-1.4605522155761719, 2.2230148315429688, 0.0, -2.3010125756263733, 12.75, 70.0, 255.0], [-1.2888908386230469, 2.1425485610961914, 0.0, -2.3010125756263733, 19.5, 67.0, 255.0], [-1.049637794494629, 2.12860107421875, 0.0, -0.19175104796886444, 22.75, 65.0, 255.0], [-0.8783340454101562, 2.0395517349243164, 0.0, -0.19175104796886444, 22.0, 65.0, 255.0], [-0.66375732421875, 3.005504608154297, 0.0, 0.0, 15.25, 73.0, 255.0]], 'numDetectedPoints': 5, 'numDetectedTracks': 1, 'trackData': [[0.0, -0.8223473429679871, 2.1017379760742188, -0.005751137621700764, -0.9479501247406006, -2.0856635570526123, -0.014937318861484528, -0.7192764282226562, -2.0210094451904297, 0.06124478951096535, 3.0, 0.9717570543289185, 8.243910418263e-312, 8.243910418263e-312, 8.243910427275e-312, 8.243910427275e-312]], 'trackIndexes': [0.0, 0.0, 0.0, 0.0, 0.0]}",0,418,5,1,"[0.0, 0.0, 0.0, 0.0, 0.0]",,1754507376359.907,0.0,-0.005751137621700764,2.1017379760742188,-0.8223473429679871,-0.014937318861484528,-2.0856635570526123,-0.9479501247406006,0.06124478951096535,-2.0210094451904297,-0.7192764282226562,0.0,2.2230148315429688,-1.4605522155761719,-2.3010125756263733,12.75,0.0,2.1425485610961914,-1.2888908386230469,-2.3010125756263733,19.5,0.0,2.12860107421875,-1.049637794494629,-0.19175104796886444,22.75,0.0,2.0395517349243164,-0.8783340454101562,-0.19175104796886444,22.0,0.0,3.005504608154297,-0.66375732421875,0.0,15.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'error': 0, 'frameNum': 419, 'pointCloud': [[-1.360774040222168, 1.7412900924682617, 0.0, -0.5752531439065933, 25.25, 65.0, 255.0], [-1.4165639877319336, 1.8031597137451172, 0.0, -0.9587552398443222, 22.5, 66.0, 255.0], [-1.1143684387207031, 1.684427261352539, 0.0, 0.19175104796886444, 14.5, 73.0, 255.0], [-0.9344816207885742, 1.5943050384521484, 0.0, 0.19175104796886444, 14.5, 75.0, 255.0], [-1.4805793762207031, 3.1102895736694336, 0.0, 0.0, 19.25, 70.0, 255.0], [-1.6450881958007812, 3.1446218490600586, 0.0, 0.0, 16.5, 69.0, 255.0], [-0.7263422012329102, 3.011941909790039, 0.0, 0.0, 15.0, 73.0, 255.0]], 'numDetectedPoints': 7, 'numDetectedTracks': 1, 'trackData': [[0.0, -1.083559274673462, 1.8577642440795898, -0.004636879079043865, -1.4428664445877075, -2.3208744525909424, -0.0039116195403039455, -1.210191011428833, -2.026561975479126, 0.06607582420110703, 3.0, 0.9745813608169556, 8.243910418263e-312, 8.243910418263e-312, 8.243910427275e-312, 8.243910427275e-312]], 'trackIndexes': [0.0, 0.0, 0.0, 0.0, 255.0, 255.0, 255.0]}",0,419,7,1,"[0.0, 0.0, 0.0, 0.0, 255.0, 255.0, 255.0]",,1754507376460.0386,0.0,-0.004636879079043865,1.8577642440795898,-1.083559274673462,-0.0039116195403039455,-2.3208744525909424,-1.4428664445877075,0.06607582420110703,-2.026561975479126,-1.210191011428833,0.0,1.7412900924682617,-1.360774040222168,-0.5752531439065933,25.25,0.0,1.8031597137451172,-1.4165639877319336,-0.9587552398443222,22.5,0.0,1.684427261352539,-1.1143684387207031,0.19175104796886444,14.5,0.0,1.5943050384521484,-0.9344816207885742,0.19175104796886444,14.5,0.0,3.1102895736694336,-1.4805793762207031,0.0,19.25,0.0,3.1446218490600586,-1.6450881958007812,0.0,16.5,0.0,3.011941909790039,-0.7263422012329102,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
"{'error': 0, 'frameNum': 551, 'pointCloud': [[-1.910090446472168, 3.546595573425293, 0.0, -0.3835020959377289, 13.5, 66.0, 255.0], [-1.341104507446289, 3.5791397094726562, 0.0, -0.3835020959377289, 14.0, 67.0, 255.0], [-0.7849931716918945, 3.543734550476074, 0.0, -0.5752531439065933, 16.25, 66.0, 255.0], [-0.44918060302734375, 3.37064266204834, 0.0, -0.3835020959377289, 17.75, 65.0, 255.0], [0.031113624572753906, 3.1832456588745117, 0.0, -0.3835020959377289, 23.0, 65.0, 255.0], [-0.08404254913330078, 3.2318830490112305, 0.0, -0.3835020959377289, 23.0, 65.0, 255.0], [0.1627206802368164, 3.104567527770996, 0.0, -0.7670041918754578, 16.25, 65.0, 255.0], [-1.3850927352905273, 3.519415855407715, 0.0, 0.0, 23.25, 65.0, 255.0], [-0.994563102722168, 3.5158395767211914, 0.0, 0.0, 25.25, 65.0, 255.0], [-0.08797645568847656, 3.4328699111938477, 0.0, 0.0, 25.25, 65.0, 255.0]], 'numDetectedPoints': 10, 'numDetectedTracks': 1, 'trackData': [[0.0, -0.3050626218318939, 3.3160150051116943, -1.5956426068441942e-05, -0.31043893098831177, -0.3283238112926483, -4.4000946218147874e-05, -0.20728659629821777, -0.27311164140701294, -9.184081136481836e-06, 3.0, 0.9998231530189514, 0.0, 0.0, 0.0, 0.0]], 'trackIndexes': [255.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0,551,10,1,"[255.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,1754507389655.6196,0.0,-1.5956426068441942e-05,3.3160150051116943,-0.3050626218318939,-4.4000946218147874e-05,-0.3283238112926483,-0.31043893098831177,-9.184081136481836e-06,-0.27311164140701294,-0.20728659629821777,0.0,3.546595573425293,-1.910090446472168,-0.3835020959377289,13.5,0.0,3.5791397094726562,-1.341104507446289,-0.3835020959377289,14.0,0.0,3.543734550476074,-0.7849931716918945,-0.5752531439065933,16.25,0.0,3.37064266204834,-0.44918060302734375,-0.3835020959377289,17.75,0.0,3.1832456588745117,0.031113624572753906,-0.3835020959377289,23.0,0.0,3.2318830490112305,-0.08404254913330078,-0.3835020959377289,23.0,0.0,3.104567527770996,0.1627206802368164,-0.7670041918754578,16.25,0.0,3.519415855407715,-1.3850927352905273,0.0,23.25,0.0,3.5158395767211914,-0.994563102722168,0.0,25.25,0.0,3.4328699111938477,-0.08797645568847656,0.0,25.25,,,,,,,,,,
"{'error': 0, 'frameNum': 552, 'pointCloud': [[-1.1605024337768555, 3.432154655456543, 0.0, -0.9587552398443222, 23.25, 66.0, 255.0], [-1.2602806091308594, 3.4836530685424805, 0.0, -0.5752531439065933, 18.0, 66.0, 255.0], [-0.9766817092895508, 3.380298614501953, 0.0, -0.3835020959377289, 23.25, 65.0, 255.0], [-0.15485286712646484, 3.2411813735961914, 0.0, -0.3835020959377289, 21.75, 65.0, 255.0], [0.1659393310546875, 3.056645393371582, 0.0, -0.7670041918754578, 21.75, 66.0, 255.0], [0.10013580322265625, 3.1006336212158203, 0.0, -0.7670041918754578, 25.0, 65.0, 255.0], [-1.397252082824707, 3.50797176361084, 0.0, 0.0, 21.0, 68.0, 255.0], [-1.1036396026611328, 3.4765005111694336, 0.0, 0.0, 25.25, 66.0, 255.0], [-0.2878904342651367, 3.425717353820801, 0.0, 0.0, 25.5, 65.0, 255.0], [0.2117156982421875, 3.0791759490966797, 0.0, 0.0, 19.25, 66.0, 255.0]], 'numDetectedPoints': 10, 'numDetectedTracks': 1, 'trackData': [[0.0, -0.37762242555618286, 3.2654929161071777, -1.5036057448014617e-05, -0.3869723975658417, -0.43386441469192505, -3.875359834637493e-05, -0.2437678724527359, -0.40004998445510864, -5.791926014353521e-06, 3.0, 0.9998408555984497, 0.0, 0.0, 0.0, 0.0]], 'trackIndexes': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0,552,10,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,1754507389747.3225,0.0,-1.5036057448014617e-05,3.2654929161071777,-0.37762242555618286,-3.875359834637493e-05,-0.43386441469192505,-0.3869723975658417,-5.791926014353521e-06,-0.40004998445510864,-0.2437678724527359,0.0,3.432154655456543,-1.1605024337768555,-0.9587552398443222,23.25,0.0,3.4836530685424805,-1.2602806091308594,-0.5752531439065933,18.0,0.0,3.380298614501953,-0.9766817092895508,-0.3835020959377289,23.25,0.0,3.2411813735961914,-0.15485286712646484,-0.3835020959377289,21.75,0.0,3.056645393371582,0.1659393310546875,-0.7670041918754578,21.75,0.0,3.1006336212158203,0.10013580322265625,-0.7670041918754578,25.0,0.0,3.50797176361084,-1.397252082824707,0.0,21.0,0.0,3.4765005111694336,-1.1036396026611328,0.0,25.25,0.0,3.425717353820801,-0.2878904342651367,0.0,25.5,0.0,3.0791759490966797,0.2117156982421875,0.0,19.25,,,,,,,,,,
