Session_ID,Recording_Number,Sequence_Number,Frame_count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
172925,1,1,177,0,2.64,-0.22,-0.12,-0.38,-0.05,-0.29,2.87,-1.34,10.25,2.76,-1.2,16.25,2.73,-0.89,17.5,3.24,-1.13,5.0,3.53,-1.08,6.25,2.64,-0.71,20.5,3.68,-0.99,7.25,2.51,-0.44,19.75,2.31,-0.1,18.75,2.38,-0.14,21.5,2.9,-1.36,18.0,3.06,-1.52,12.0,2.88,-1.14,18.25,3.65,-0.75,15.75,3.69,-0.83,16.0,2.79,-0.44,18.75,2.65,-0.04,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172925,1,2,178,0,2.64,-0.49,-0.09,-0.81,0.01,-0.63,2.47,-1.18,12.25,2.76,-1.05,14.0,2.85,-1.09,13.5,2.93,-1.23,8.5,2.38,-0.79,15.5,2.27,-0.52,11.25,2.33,-0.67,16.0,3.66,-0.41,4.0,3.81,-0.33,5.25,2.9,-1.38,17.75,3.41,-0.87,13.75,4.0,-0.5,13.25,3.73,-0.28,20.75,3.75,-0.33,21.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172925,1,3,179,0,2.63,-0.71,-0.12,-1.09,-0.06,-0.8,2.7,-1.33,13.25,2.85,-1.49,8.5,2.57,-0.98,19.25,2.65,-1.07,17.0,2.23,-0.69,13.5,2.31,-0.71,16.75,2.46,-0.81,17.0,3.33,-1.09,8.0,3.56,-0.89,10.0,3.7,-0.77,9.25,3.94,-0.83,4.25,3.98,-0.6,13.25,3.72,-0.28,21.0,3.76,-0.26,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172925,1,4,180,0,2.61,-0.88,-0.14,-1.28,-0.08,-0.9,2.67,-1.29,10.5,2.44,-0.91,19.75,2.53,-1.01,19.75,2.59,-1.16,17.75,2.25,-0.77,6.25,2.37,-0.84,15.75,3.06,-1.0,5.0,3.3,-1.09,4.5,3.51,-1.06,4.75,3.92,-0.94,5.0,3.75,-0.83,6.0,3.98,-0.65,13.25,3.54,-0.34,14.0,3.76,-0.36,20.5,3.72,-0.24,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172925,1,5,181,0,2.6,-1.05,-0.12,-1.44,-0.02,-0.98,2.68,-1.21,14.75,2.41,-0.96,11.0,2.5,-1.02,22.0,2.55,-1.02,25.0,2.6,-1.08,22.5,2.91,-1.19,5.75,3.86,-1.14,12.75,3.48,-0.7,12.5,3.72,-0.32,20.0,3.75,-0.27,19.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172925,1,6,182,0,2.6,-1.12,-0.13,-1.38,-0.07,-0.81,2.36,-1.04,6.25,2.52,-1.01,16.75,2.59,-0.98,21.5,2.76,-1.16,14.0,2.91,-1.25,9.5,2.68,-0.95,19.25,3.8,-0.65,7.0,3.96,-0.76,4.75,3.67,-0.57,4.25,3.82,-1.29,13.0,3.57,-0.49,11.5,3.73,-0.22,19.25,3.76,-0.2,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172925,1,7,183,0,2.6,-1.21,-0.14,-1.33,-0.11,-0.67,2.53,-1.19,17.0,2.47,-1.08,13.5,2.71,-1.14,18.25,2.79,-1.17,18.0,2.85,-1.25,10.0,3.76,-0.8,4.5,3.91,-0.96,13.5,3.55,-0.53,10.75,3.73,-0.28,18.5,3.78,-0.28,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172925,1,8,184,0,2.62,-1.2,-0.16,-1.06,-0.21,-0.3,2.57,-1.03,16.25,2.63,-1.06,24.75,2.67,-1.07,25.75,2.73,-1.08,20.0,2.97,-0.9,6.5,3.34,-0.92,4.75,3.52,-1.0,5.5,3.73,-0.79,4.5,2.73,-1.17,15.0,2.96,-1.15,9.5,3.91,-0.98,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172925,1,9,185,0,2.6,-1.29,-0.21,-1.03,-0.26,-0.23,2.58,-1.23,15.75,2.62,-1.23,17.25,2.71,-1.28,12.5,2.83,-1.43,7.75,2.54,-1.06,4.5,3.25,-1.28,8.25,2.27,-0.56,12.75,3.66,-0.87,13.0,3.92,-0.94,13.75,3.77,-0.79,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172925,1,10,186,0,2.59,-1.36,-0.21,-0.99,-0.24,-0.17,2.63,-1.16,11.0,2.68,-1.18,15.25,2.72,-1.19,11.25,3.31,-1.06,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
