Session_ID,Recording_Number,Sequence_Number,Frame_count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
162926,1,1,66,0,2.56,0.08,-0.02,-0.28,-0.04,-0.21,2.73,-0.99,9.75,3.06,-0.78,13.0,3.43,-0.36,14.25,3.52,-0.36,11.0,3.31,-0.31,13.75,2.57,0.0,21.5,2.61,-0.03,18.75,2.46,0.21,18.5,2.27,0.51,13.75,2.79,-0.7,13.75,2.95,-0.87,14.5,3.69,-0.19,10.75,3.54,0.01,17.25,3.58,0.02,16.75,2.45,0.23,29.75,2.48,0.2,30.0,2.55,0.16,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162926,1,2,67,0,2.57,-0.01,0.03,-0.42,0.04,-0.31,2.77,-1.34,9.75,2.97,-1.31,7.25,2.74,-0.97,10.5,3.34,-0.87,5.5,2.47,-0.38,13.0,2.69,-0.21,11.5,2.32,0.14,17.25,2.25,0.26,16.75,3.63,0.44,6.25,2.14,0.4,6.0,2.94,-0.93,13.25,2.77,-0.72,12.25,3.54,-0.05,17.5,3.58,0.04,17.5,3.68,0.08,10.0,2.48,0.19,30.5,2.55,0.16,22.75,2.35,0.31,23.75,2.44,0.24,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162926,1,3,68,0,2.61,-0.16,0.09,-0.63,0.11,-0.47,2.94,-0.97,11.0,3.11,-0.95,8.0,2.83,-0.63,8.0,3.65,-0.82,7.0,2.48,-0.37,15.5,2.35,-0.21,17.75,2.66,-0.16,13.0,3.53,-0.14,9.75,3.61,-0.27,11.0,2.28,0.0,16.5,2.98,-0.85,12.75,2.77,-0.56,10.75,3.98,-0.64,4.75,3.98,-0.64,4.5,3.69,-0.12,9.0,3.54,0.1,16.5,3.58,-0.03,16.25,3.69,-0.12,9.0,2.48,0.19,30.25,2.55,0.16,23.0,2.36,0.31,23.75,2.44,0.24,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162926,1,4,69,0,2.65,-0.36,0.12,-0.92,0.1,-0.67,2.57,-0.88,18.0,2.72,-0.83,16.0,2.85,-0.91,10.5,2.48,-0.64,19.0,3.15,-0.87,6.25,2.42,-0.45,18.0,3.69,-0.67,5.0,2.34,-0.34,10.5,3.6,-0.35,9.5,3.53,-0.05,9.75,2.95,-0.94,13.25,2.77,-0.76,11.5,3.66,-0.76,10.0,3.57,-0.36,15.5,3.98,-0.63,7.0,3.52,-0.17,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162926,1,5,70,0,2.67,-0.55,0.08,-1.14,0.0,-0.8,2.76,-1.03,10.5,3.04,-1.15,6.0,2.63,-0.94,21.75,2.66,-0.94,20.0,3.61,-1.09,6.25,2.29,-0.62,10.0,2.35,-0.61,16.75,3.43,-0.79,8.5,3.52,-0.89,9.75,2.57,-0.48,14.75,2.83,-1.08,12.75,2.7,-0.99,17.0,3.18,-1.0,11.0,3.53,-0.37,17.25,3.99,-0.57,7.25,3.58,-0.19,17.25,2.43,0.22,27.75,2.49,0.12,28.0,2.34,0.29,22.25,3.69,0.38,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162926,1,6,71,0,2.66,-0.63,-0.06,-1.09,-0.25,-0.63,2.53,-0.98,9.0,2.72,-1.05,8.25,2.86,-1.12,8.25,3.03,-1.17,5.0,2.42,-0.75,10.75,2.29,-0.45,6.5,2.37,-0.45,11.5,3.49,-0.43,6.75,3.59,-0.48,8.0,3.08,-1.21,12.0,2.86,-1.01,13.75,3.56,-1.04,10.25,3.97,-0.71,6.75,3.54,-0.3,18.0,3.57,-0.31,18.25,3.69,-0.09,10.0,2.42,0.19,28.0,2.47,0.11,27.0,2.34,0.29,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162926,1,7,72,0,2.65,-0.77,-0.11,-1.19,-0.3,-0.66,2.54,-1.06,19.25,2.69,-1.09,21.0,2.78,-1.05,16.5,2.43,-0.79,20.25,3.0,-1.01,7.75,2.38,-0.63,19.5,2.33,-0.48,11.25,3.44,-0.66,8.25,3.56,-0.69,9.25,3.72,-0.64,5.5,3.96,-0.75,4.25,2.83,-1.03,15.75,3.1,-1.11,11.25,3.95,-0.79,6.75,3.53,-0.36,17.5,3.57,-0.28,18.0,3.69,-0.09,10.25,2.42,0.19,27.5,2.47,0.14,26.75,2.34,0.28,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162926,1,8,73,0,2.67,-0.91,-0.1,-1.3,-0.25,-0.7,2.58,-1.03,21.5,2.64,-1.07,21.5,2.77,-1.09,14.0,2.5,-0.83,17.75,3.08,-1.09,10.25,3.28,-1.11,11.75,2.32,-0.53,5.5,2.41,-0.65,15.0,3.46,-0.91,8.75,3.69,-0.7,4.75,2.56,-0.96,20.75,2.69,-1.06,19.75,2.83,-1.05,15.5,3.15,-0.97,11.75,3.56,-1.1,10.75,2.4,-0.39,20.5,3.93,-0.86,6.75,3.51,-0.45,17.5,3.55,-0.46,17.5,2.28,0.21,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162926,1,9,74,0,2.7,-1.02,-0.03,-1.36,-0.11,-0.72,2.45,-0.85,7.25,2.59,-0.83,18.75,2.64,-0.89,24.0,2.67,-0.93,22.75,2.79,-0.91,14.5,3.56,-1.28,6.75,3.13,-0.82,7.25,3.38,-0.87,11.0,3.48,-0.97,8.75,3.02,-1.21,12.0,2.59,-0.9,23.25,2.82,-1.03,16.5,3.58,-1.04,11.5,3.92,-0.91,7.0,2.4,-0.35,20.25,3.51,-0.51,16.5,3.57,-0.44,17.25,2.28,0.12,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162926,1,10,75,0,2.72,-1.1,0.01,-1.3,-0.06,-0.59,2.53,-0.95,10.5,2.39,-0.76,4.25,2.67,-0.97,16.75,2.78,-0.87,19.25,2.85,-0.87,15.25,3.02,-0.94,6.75,3.31,-0.98,6.0,3.73,-0.87,4.0,2.6,-0.9,23.25,2.7,-0.98,22.25,3.06,-1.08,11.0,3.57,-1.09,11.5,2.41,-0.56,19.5,2.5,-0.73,22.0,3.93,-0.9,7.0,3.49,-0.57,16.25,3.56,-0.56,17.0,2.33,-0.17,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
