Session_ID,Recording_Number,Sequence_Number,Frame_count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
180026,35,1,1760,0,2.8,-0.21,0.19,-0.57,0.22,-0.48,3.13,-1.29,8.5,2.66,-0.85,20.0,2.71,-0.96,19.25,2.86,-1.01,15.25,3.01,-1.12,12.25,2.62,-0.61,15.25,2.5,-0.15,8.75,3.81,0.18,7.0,3.67,0.46,5.75,2.86,-1.08,14.5,3.99,-0.59,13.5,2.78,-0.09,21.0,3.76,-0.31,11.0,3.85,-0.32,15.75,2.7,0.2,26.25,2.57,0.37,14.25,2.66,0.29,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,2,1761,0,2.87,-0.46,0.24,-0.94,0.2,-0.75,2.68,-1.16,19.0,2.78,-1.22,17.0,2.97,-1.21,12.25,2.64,-0.89,17.25,3.36,-1.02,10.25,2.57,-0.59,15.0,2.48,-0.48,10.25,3.76,-0.31,16.75,3.81,-0.27,19.75,4.02,-0.29,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,3,1762,0,2.86,-0.71,0.16,-1.27,0.05,-0.96,2.64,-1.4,16.0,2.75,-1.38,18.75,2.8,-1.45,12.75,3.02,-1.49,5.75,2.46,-0.76,8.75,2.5,-0.79,17.25,2.62,-0.67,14.75,3.61,-0.74,5.5,3.77,-0.69,6.5,3.95,-0.81,5.0,2.66,-1.14,22.25,2.77,-1.21,19.25,2.69,-0.59,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,4,1763,0,2.87,-0.89,0.12,-1.44,-0.02,-1.01,2.65,-1.03,16.75,2.75,-1.13,19.75,2.86,-1.12,21.0,2.93,-1.18,16.0,3.06,-1.32,8.25,2.55,-0.9,11.25,3.57,-0.98,5.0,3.84,-0.67,11.0,3.95,-0.79,10.25,2.67,-1.09,22.75,2.78,-1.21,19.0,2.98,-1.24,14.25,3.72,-0.55,16.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,5,1764,0,2.89,-1.06,0.1,-1.56,-0.06,-1.01,2.67,-1.09,13.5,2.74,-1.19,18.0,2.85,-1.25,19.25,2.95,-1.23,18.0,3.06,-1.27,11.25,2.61,-0.78,4.5,3.81,-0.78,6.75,3.93,-0.89,7.0,2.7,-1.07,24.25,2.78,-1.22,21.5,3.73,-0.5,16.75,3.82,-0.45,20.5,4.0,-0.48,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,6,1765,0,2.88,-1.17,0.03,-1.55,-0.17,-0.89,2.68,-1.06,12.5,2.79,-1.05,16.75,2.9,-1.12,17.5,2.96,-1.23,16.5,3.02,-1.35,9.75,2.7,-1.09,24.25,2.78,-1.21,21.5,2.65,-0.9,23.0,3.68,-0.7,16.0,3.82,-0.51,19.5,3.98,-0.64,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,7,1766,0,2.87,-1.25,-0.05,-1.46,-0.27,-0.71,2.97,-1.47,9.75,2.91,-1.3,16.5,2.74,-0.99,10.75,2.85,-0.98,17.75,2.91,-1.06,19.25,2.7,-1.1,24.0,2.8,-1.15,21.75,2.95,-1.2,15.0,2.57,-0.81,19.25,2.64,-0.93,22.75,3.7,-0.68,16.75,3.83,-0.51,20.75,3.99,-0.53,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,8,1767,0,2.87,-1.32,-0.1,-1.37,-0.32,-0.55,2.59,-1.01,4.5,3.01,-1.05,7.75,3.06,-1.09,9.5,2.75,-1.27,24.0,2.69,-1.15,25.75,2.89,-1.3,15.75,3.22,-1.21,12.0,2.58,-0.79,19.25,2.65,-0.94,23.25,2.5,-0.59,10.25,3.71,-0.63,16.25,3.84,-0.49,20.75,3.99,-0.58,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,9,1768,0,2.86,-1.46,-0.13,-1.43,-0.32,-0.55,2.75,-1.28,22.5,2.7,-1.18,24.25,2.89,-1.3,14.5,3.11,-1.32,10.5,3.57,-0.94,9.25,3.96,-0.72,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,10,1769,0,2.87,-1.43,-0.12,-1.17,-0.3,-0.28,2.92,-1.4,5.5,2.87,-1.12,6.25,2.7,-0.84,5.25,2.83,-0.79,7.75,2.76,-1.3,22.25,2.84,-1.4,16.0,2.72,-1.16,22.75,3.09,-1.37,10.25,3.55,-0.99,8.75,3.92,-0.94,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
