Session_ID,Recording_Number,Sequence_Number,Frame_count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
163620,1,1,35,0,2.34,0.01,0.0,-0.28,0.09,-0.2,2.41,-1.77,7.25,2.59,-1.28,12.0,3.46,-0.93,6.75,2.53,-0.54,10.25,3.41,-0.63,9.0,3.34,-0.41,7.25,2.41,-0.08,22.0,2.37,-0.06,21.5,2.38,-0.04,26.25,2.73,-1.0,17.5,2.84,-1.0,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163620,1,2,36,0,2.32,-0.05,-0.07,-0.34,-0.04,-0.24,2.44,-1.51,10.0,2.45,-0.8,13.5,3.49,-0.85,11.25,3.53,-0.85,13.5,3.61,-0.84,9.0,2.39,-0.13,24.5,2.32,0.03,26.5,2.35,-0.06,29.25,2.24,0.15,12.0,2.74,-0.97,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163620,1,3,37,0,2.32,-0.11,-0.14,-0.4,-0.17,-0.26,3.59,-1.22,5.0,2.69,-0.76,10.0,2.94,-0.76,7.5,2.55,-0.51,17.5,2.47,-0.32,23.75,3.25,-0.4,4.25,3.47,-0.18,5.25,2.2,0.06,15.25,2.26,0.13,24.75,2.34,0.14,25.0,3.3,1.5,4.5,2.72,-0.96,15.75,2.9,-0.96,15.75,3.56,-0.92,11.75,2.4,0.05,35.75,2.25,0.17,9.75,2.36,0.08,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163620,1,4,38,0,2.35,-0.25,-0.06,-0.62,-0.02,-0.43,2.65,-0.86,14.0,2.86,-0.92,8.25,2.57,-0.73,19.0,2.43,-0.54,21.0,3.67,-0.82,5.0,2.27,-0.22,25.5,3.31,-0.42,6.5,2.19,-0.18,17.0,2.21,-0.19,28.5,3.58,-0.24,9.5,3.51,-0.11,11.0,2.9,-0.96,15.5,3.2,-0.92,12.75,3.55,-0.96,11.5,2.57,-0.13,17.5,2.31,0.06,31.0,2.42,0.04,29.0,2.36,0.1,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163620,1,5,39,0,2.38,-0.45,-0.02,-0.91,0.02,-0.66,2.63,-1.47,10.0,2.52,-1.31,13.0,2.58,-0.62,18.0,3.23,-0.88,6.5,2.26,-0.47,13.5,2.4,-0.5,15.75,2.53,-0.55,19.75,3.51,-0.5,12.25,3.57,-0.45,12.25,3.69,-0.48,6.25,2.88,-1.01,14.25,3.21,-0.94,12.25,2.56,-0.54,18.25,3.48,-0.71,17.5,3.55,-0.66,18.75,3.64,-0.64,12.5,4.01,-0.34,4.5,2.36,0.07,31.25,2.43,-0.01,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163620,1,6,40,0,2.39,-0.63,-0.06,-1.13,-0.08,-0.78,2.69,-1.31,6.75,2.56,-1.15,12.75,3.1,-1.18,4.25,2.48,-0.88,14.0,2.55,-0.95,16.75,2.24,-0.61,6.0,2.39,-0.63,10.75,3.46,-0.79,8.75,3.64,-0.44,11.25,3.73,-0.49,9.25,3.99,-0.53,4.0,2.62,-1.14,11.25,2.88,-1.14,12.5,3.21,-1.04,12.75,2.55,-0.42,18.5,3.53,-0.53,19.0,3.57,-0.49,19.75,3.69,-0.29,13.75,2.43,-0.06,27.5,2.3,0.08,29.5,2.36,0.09,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163620,1,7,41,0,2.39,-0.81,-0.12,-1.29,-0.18,-0.84,2.29,-1.13,6.0,2.1,-0.81,6.25,2.5,-1.04,19.5,2.51,-1.03,22.5,2.56,-1.06,17.0,2.72,-1.14,8.0,3.03,-1.29,4.25,3.26,-1.34,8.25,3.35,-1.36,8.75,3.49,-1.37,5.0,2.62,-1.09,13.5,2.84,-1.13,12.25,2.53,-0.72,20.5,3.25,-0.95,12.25,3.54,-0.44,19.25,3.59,-0.37,20.0,3.68,-0.38,14.5,2.36,0.06,30.25,2.44,-0.06,26.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163620,1,8,42,0,2.4,-0.95,-0.13,-1.38,-0.18,-0.84,2.68,-1.22,7.5,3.19,-1.48,5.75,2.48,-0.94,20.0,2.52,-0.99,21.75,2.56,-1.07,16.25,3.4,-1.33,6.5,2.43,-0.77,13.0,3.65,-1.03,4.25,2.55,-0.85,22.5,3.19,-0.99,11.25,3.52,-0.42,17.5,4.01,-0.39,7.75,3.59,-0.34,16.75,3.73,-0.13,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163620,1,9,43,0,2.41,-1.02,-0.14,-1.31,-0.2,-0.68,2.4,-0.93,13.0,2.72,-1.07,9.75,3.3,-1.24,5.0,2.53,-0.87,21.5,2.57,-0.9,24.0,2.61,-0.94,19.5,3.49,-1.07,6.75,3.69,-0.82,4.5,2.62,-0.98,17.25,2.56,-0.8,24.5,3.34,-0.65,11.25,2.48,-0.4,25.25,3.52,-0.4,18.75,3.58,-0.27,17.75,4.02,-0.17,7.0,3.72,0.06,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163620,1,10,44,0,2.45,-1.11,-0.12,-1.26,-0.2,-0.55,2.21,-1.09,11.5,2.63,-1.22,16.75,2.4,-1.0,12.0,2.57,-1.09,14.5,2.77,-1.18,12.5,3.06,-1.11,8.25,3.32,-1.01,9.75,3.43,-1.05,8.25,2.56,-0.83,25.0,3.23,-0.91,12.25,2.51,-0.49,25.0,3.46,-0.6,17.5,4.01,-0.42,7.25,3.59,-0.25,16.25,3.74,-0.08,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
