tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.2101402282714844,-1.3657310485839844,0.0,17.25,0.0,2.922177314758301,-1.2845495223999024,0.0,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.192258834838867,-1.365373420715332,0.0,17.0,0.0,2.92360782623291,-1.3110139846801758,0.0,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.1997690200805664,-1.382897186279297,0.0,15.0,0.0,2.507328987121582,-1.0778406143188477,0.0,15.75,0.0,2.902865409851074,-1.2952783584594727,0.0,13.25,0.0,2.7877092361450195,-0.9898641586303711,0.0,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.871036529541016,-1.3045766830444336,0.0,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.871394157409668,-1.318524169921875,0.0,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.682209014892578,-0.7591941833496094,0.0,15.75,0.0,2.7784109115600586,-0.7881620407104493,0.0,18.75,0.0,3.2776594161987305,-0.9208419799804688,0.0,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.671480178833008,-0.7684925079345704,0.0,15.0,0.0,2.737283706665039,-0.7423856735229493,0.0,20.5,0.0,2.767324447631836,-0.8697011947631836,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.889633178710937,-1.1043050765991211,0.0,13.25,0.0,2.78627872467041,-0.8321502685546875,0.0,20.25,0.0,2.7043819427490234,-0.6751516342163086,0.0,15.75,0.0,2.755165100097656,-0.7230737686157226,0.0,21.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
