Frame count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
37,0,2.78,-1.47,0.35,-0.15,0.0,0.0,2.71,-1.54,14.75,2.68,-1.35,8.5,2.77,-1.53,13.75,2.98,-1.45,6.75,3.3,-1.4000000000000001,6.5,3.46,-1.4200000000000002,7.25,3.68,-1.17,4.75,2.59,-1.33,10.75,3.88,-1.37,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,2.8,-1.46,0.16,0.05,-0.13,0.07,2.89,-1.3800000000000001,8.25,2.5,-1.19,9.5,2.57,-1.19,10.75,2.71,-1.3,7.75,2.89,-1.3800000000000001,8.25,3.04,-1.4100000000000001,7.0,3.34,-1.17,4.0,3.73,-1.16,5.5,3.62,-0.98,5.0,2.6,-1.31,12.25,2.68,-1.4000000000000001,23.75,2.71,-1.43,27.75,2.76,-1.47,25.0,3.89,-1.34,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,2.83,-1.44,0.21,0.14,-0.11,0.08,3.41,-1.15,5.0,3.53,-1.13,5.5,2.68,-1.4000000000000001,22.75,2.72,-1.4200000000000002,27.0,2.76,-1.43,24.25,2.61,-1.26,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,2.85,-1.4000000000000001,0.2,0.25,-0.14,0.12,2.49,-1.27,12.0,2.53,-1.3,14.75,2.68,-1.17,9.75,2.93,-1.21,6.0,3.11,-1.31,6.75,3.36,-1.03,4.25,2.58,-1.29,14.5,2.66,-1.3800000000000001,23.25,2.71,-1.4100000000000001,26.5,2.78,-1.4200000000000002,23.75,2.98,-1.37,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,2.85,-1.36,0.11,0.31,-0.32,0.2,2.47,-1.26,8.0,2.55,-1.25,10.25,2.7,-1.18,6.25,2.94,-1.26,4.0,3.15,-1.4000000000000001,5.5,3.35,-1.45,8.0,2.57,-1.29,15.0,2.65,-1.3800000000000001,22.75,2.71,-1.4100000000000001,26.0,2.78,-1.4000000000000001,23.0,2.44,-1.08,4.0,2.98,-1.33,15.5,3.32,-1.27,12.25,3.53,-1.26,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,2.86,-1.35,0.1,0.27,-0.22,0.14,2.5,-1.26,12.5,2.53,-1.31,15.25,2.58,-1.3900000000000001,10.75,2.84,-1.32,4.75,2.57,-1.28,16.0,2.65,-1.36,24.0,2.72,-1.37,26.75,2.44,-1.11,4.75,3.33,-1.24,12.75,3.52,-1.26,14.25,3.66,-1.14,11.5,3.95,-1.07,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,2.9,-1.28,0.14,0.37,-0.14,0.18,2.53,-1.13,5.25,2.61,-1.24,9.5,2.73,-1.26,8.75,2.92,-1.3,7.75,3.08,-1.37,7.0,3.27,-1.3800000000000001,5.25,3.58,-1.02,4.25,3.78,-0.81,4.0,2.57,-1.28,16.25,2.66,-1.36,24.0,2.45,-1.08,5.0,2.96,-1.33,15.75,3.27,-1.3900000000000001,12.25,3.52,-1.32,13.5,3.67,-1.16,12.0,3.95,-1.1,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,2.9,-1.28,0.14,0.31,-0.08,0.11,2.62,-1.5,8.0,2.56,-1.4100000000000001,8.0,3.55,-1.18,4.5,2.57,-1.29,16.0,2.66,-1.3900000000000001,24.75,2.7,-1.43,28.0,2.43,-1.15,4.75,2.98,-1.33,15.75,3.31,-1.3,13.25,3.53,-1.27,15.25,3.65,-1.19,13.5,3.93,-1.19,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,2.88,-1.33,0.09,0.15,-0.09,-0.06,2.84,-1.62,4.0,2.55,-1.35,9.5,2.63,-1.4100000000000001,19.5,2.64,-1.45,21.25,2.68,-1.5,14.75,2.57,-1.33,16.5,2.65,-1.4100000000000001,26.0,2.7,-1.43,29.25,2.93,-1.3900000000000001,15.75,2.45,-1.1199999999999999,4.25,3.3,-1.32,13.25,3.52,-1.28,14.75,3.66,-1.17,13.25,3.95,-1.1,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,2.89,-1.34,0.09,0.09,-0.05,-0.11,2.7,-1.37,11.75,2.77,-1.4000000000000001,6.25,2.68,-1.28,8.5,2.57,-1.34,16.5,2.65,-1.43,26.25,2.69,-1.44,29.75,2.44,-1.15,4.0,3.28,-1.33,13.5,3.51,-1.31,15.0,3.65,-1.18,12.5,3.96,-1.04,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,2.87,-1.35,0.01,0.06,-0.15,-0.12,2.65,-1.33,6.0,2.73,-1.37,9.5,2.8,-1.4100000000000001,6.25,2.57,-1.33,16.75,2.65,-1.4200000000000002,26.25,2.69,-1.44,29.5,2.45,-1.11,4.0,3.32,-1.22,13.25,3.52,-1.28,15.0,3.62,-1.25,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,2.87,-1.36,-0.0,0.0,-0.14,-0.17,2.67,-1.48,6.25,2.59,-1.32,15.75,2.66,-1.43,26.25,3.32,-1.26,13.0,3.52,-1.29,15.25,3.62,-1.27,12.25,3.92,-1.23,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,2.86,-1.36,0.0,0.0,0.0,0.0,2.57,-1.37,16.5,2.65,-1.4200000000000002,27.25,2.68,-1.45,30.5,3.31,-1.22,11.25,3.52,-1.21,13.0,3.88,-1.3900000000000001,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,2.87,-1.35,0.02,0.02,0.03,0.02,2.63,-1.17,4.75,2.58,-1.4100000000000001,13.75,2.67,-1.44,26.75,3.53,-1.2,12.0,3.62,-1.27,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,2.85,-1.36,-0.04,0.01,-0.04,0.01,2.6,-1.35,4.0,2.72,-1.35,5.25,2.58,-1.4000000000000001,14.0,2.67,-1.4200000000000002,26.5,2.7,-1.43,30.25,2.75,-1.43,27.25,3.3,-1.19,9.5,3.52,-1.23,11.5,3.62,-1.26,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,2.81,-1.3800000000000001,-0.11,-0.04,-0.12,-0.03,2.55,-1.27,8.5,2.61,-1.37,16.0,2.63,-1.45,17.0,2.71,-1.48,10.75,2.58,-1.3800000000000001,13.5,2.68,-1.4100000000000001,26.25,2.71,-1.4200000000000002,30.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,2.8,-1.36,-0.12,0.01,-0.13,0.02,2.67,-1.33,6.5,2.6,-1.25,7.25,3.51,-1.34,4.25,2.59,-1.34,12.0,2.69,-1.3800000000000001,24.25,2.73,-1.3900000000000001,28.5,2.78,-1.3900000000000001,25.75,3.59,-1.36,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,2.76,-1.4100000000000001,-0.19,-0.08,-0.19,-0.06,2.84,-1.6400000000000001,4.5,2.64,-1.44,12.0,2.68,-1.48,16.0,2.73,-1.51,13.0,2.61,-1.31,8.5,2.69,-1.4000000000000001,22.25,2.72,-1.4100000000000001,26.75,3.31,-1.32,10.0,3.49,-1.35,12.0,3.58,-1.3800000000000001,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,2.77,-1.4000000000000001,-0.14,-0.06,-0.11,-0.05,2.51,-1.48,7.0,2.71,-1.37,7.25,2.91,-1.26,7.0,3.51,-1.33,6.0,2.57,-1.3800000000000001,10.25,2.69,-1.3900000000000001,22.5,2.72,-1.4100000000000001,26.75,3.24,-1.3900000000000001,12.25,3.58,-1.37,8.75,3.48,-1.31,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,2.81,-1.37,-0.04,-0.01,0.02,-0.01,2.73,-1.36,6.75,2.9,-1.4100000000000001,6.0,2.63,-1.28,5.25,3.1,-1.33,5.75,3.36,-1.01,4.0,2.58,-1.3800000000000001,12.25,2.67,-1.4100000000000001,24.5,2.69,-1.4100000000000001,27.75,2.77,-1.4200000000000002,23.5,2.94,-1.46,17.25,3.21,-1.49,13.0,3.45,-1.3800000000000001,13.0,3.58,-1.35,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
