Frame count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
19,0,2.77,-1.48,0.18,-0.07,0.0,0.0,2.59,-1.53,8.5,2.75,-1.46,13.5,2.82,-1.4200000000000002,13.5,2.91,-1.49,6.5,2.67,-1.51,21.0,2.9,-1.45,11.25,3.21,-1.4100000000000001,6.75,3.44,-1.3900000000000001,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,2.79,-1.48,0.2,-0.04,0.0,0.0,2.96,-1.3,9.5,3.04,-1.35,7.25,2.91,-1.08,6.0,2.53,-1.47,17.5,2.68,-1.5,21.25,2.91,-1.43,11.25,3.21,-1.4200000000000002,6.75,3.44,-1.4200000000000002,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,2.81,-1.48,0.19,-0.05,-0.0,0.0,2.61,-1.53,12.25,2.47,-1.4000000000000001,4.25,2.75,-1.48,17.5,2.81,-1.46,18.25,2.87,-1.51,11.25,2.68,-1.52,21.75,2.88,-1.49,12.25,3.22,-1.45,7.0,3.48,-1.45,7.75,3.66,-1.28,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,2.81,-1.47,0.11,0.03,-0.16,0.08,2.65,-1.3800000000000001,4.0,2.78,-1.4000000000000001,10.25,2.86,-1.33,9.75,2.87,-1.49,10.0,3.28,-1.37,6.25,3.46,-1.5,7.5,3.62,-1.4000000000000001,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,2.82,-1.4100000000000001,0.08,0.2,-0.27,0.19,2.78,-1.15,11.5,2.86,-1.21,6.25,2.75,-1.11,8.0,2.87,-1.52,9.0,3.22,-1.59,7.75,3.41,-1.58,8.5,3.64,-1.34,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,2.84,-1.3900000000000001,0.09,0.2,-0.19,0.16,2.77,-1.3900000000000001,7.25,2.86,-1.4200000000000002,7.5,2.53,-1.47,17.25,2.9,-1.45,12.0,3.17,-1.59,7.5,3.44,-1.5,7.75,3.62,-1.4200000000000002,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,2.85,-1.31,0.05,0.35,-0.27,0.26,2.8,-1.16,6.0,2.69,-1.07,4.0,2.94,-1.16,4.5,2.51,-1.47,16.25,2.57,-1.49,25.25,2.59,-1.51,25.0,2.72,-1.48,18.75,2.92,-1.49,11.75,3.21,-1.5,8.0,3.43,-1.54,8.25,3.61,-1.44,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,2.86,-1.28,0.08,0.36,-0.17,0.23,2.69,-1.31,7.5,2.66,-1.2,7.5,2.5,-1.49,14.75,2.55,-1.53,23.0,2.73,-1.5,18.5,2.9,-1.51,11.25,3.23,-1.43,6.75,3.45,-1.52,7.25,3.64,-1.4000000000000001,6.25,3.95,-1.08,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,2.82,-1.37,-0.05,0.15,-0.27,0.07,2.78,-1.82,5.25,2.75,-1.55,9.75,2.74,-1.6600000000000001,11.0,2.47,-1.5,10.25,2.51,-1.6500000000000001,18.5,2.93,-1.48,10.5,3.4,-1.6300000000000001,7.25,3.22,-1.48,6.5,3.61,-1.47,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,2.8,-1.45,-0.06,-0.01,-0.2,-0.09,2.6,-1.69,6.5,2.72,-1.7,5.25,2.49,-1.46,10.25,2.57,-1.53,18.5,3.4,-1.62,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,2.78,-1.47,-0.1,-0.05,-0.22,-0.11,2.58,-1.45,5.5,2.66,-1.46,7.5,3.02,-1.58,5.25,2.51,-1.44,10.75,2.58,-1.5,19.0,3.37,-1.6300000000000001,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,2.8,-1.46,-0.04,-0.05,-0.12,-0.12,2.35,-2.01,4.75,2.47,-1.59,4.25,3.13,-1.17,5.0,3.1,-0.8699999999999999,6.0,2.69,-1.61,17.0,2.5,-1.43,10.0,3.41,-1.55,6.0,3.67,-1.28,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,2.82,-1.47,-0.01,-0.07,-0.06,-0.13,2.9,-1.48,6.0,3.03,-1.47,4.5,2.57,-1.55,19.75,2.6,-1.58,21.75,2.68,-1.59,17.25,2.51,-1.44,10.75,3.69,-1.21,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,2.84,-1.5,0.05,-0.12,0.02,-0.18,2.45,-1.6500000000000001,7.0,2.58,-1.81,6.5,3.13,-1.48,6.5,3.0,-1.36,11.75,3.04,-1.4200000000000002,12.5,2.5,-1.48,11.25,2.57,-1.54,20.75,2.58,-1.59,22.25,2.67,-1.62,16.75,3.64,-1.3900000000000001,4.75,3.65,-1.3900000000000001,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,2.84,-1.53,0.05,-0.18,0.03,-0.22,2.86,-1.6700000000000002,5.75,2.64,-1.46,8.75,2.71,-1.5,14.0,2.75,-1.54,12.0,2.63,-1.51,25.0,2.69,-1.55,20.25,2.54,-1.44,11.75,2.63,-1.46,22.5,3.68,-1.3,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,2.88,-1.48,0.12,-0.09,0.1,-0.12,2.92,-1.3900000000000001,7.0,2.82,-1.3,5.25,2.92,-1.3900000000000001,6.75,3.1,-1.22,5.5,3.21,-1.44,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,2.87,-1.51,0.11,-0.14,0.09,-0.16,2.7,-1.6600000000000001,12.0,2.65,-1.44,10.0,2.7,-1.49,14.25,2.99,-1.37,6.25,2.61,-1.49,26.5,2.63,-1.51,28.5,2.69,-1.52,23.0,3.2,-1.48,7.75,3.42,-1.49,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,2.85,-1.5,0.09,-0.12,0.07,-0.13,2.53,-1.29,5.75,2.6,-1.4200000000000002,14.25,2.64,-1.4200000000000002,14.25,2.78,-1.3900000000000001,8.25,3.01,-1.4200000000000002,4.0,2.7,-1.51,23.0,3.2,-1.47,7.25,3.41,-1.51,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,2.83,-1.5,0.03,-0.1,-0.01,-0.09,2.62,-1.4100000000000001,8.5,2.67,-1.46,10.75,2.8,-1.43,6.75,2.62,-1.47,26.0,2.65,-1.48,28.25,2.69,-1.51,23.25,3.23,-1.46,8.75,3.4,-1.49,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
