tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6
0.0,0.0547223016619682,2.983891487121582,-0.44997403694214866,0.0760672464966774,0.1338182240724563,-6.563062015629839e-06,0.0506102219223976,0.1218112036585807,-4.770568921230733e-06,0.0,3.124237060546875,-0.35487098693847663,0.0,20.0,0.0,3.177523612976074,-0.333413314819336,0.0,17.25,,,,,,,,,,,,,,,,,,,,
0.0,0.0464906096458435,2.9789693355560303,-0.4499743020598544,0.0637653097510337,0.1197368055582046,-8.684197382535785e-06,0.041805624961853,0.1024644821882247,-6.1281712078198325e-06,0.0,2.9429197311401367,-0.5344001770019531,-0.1917510479688644,12.5,0.0,2.9032230377197266,-0.6306020736694335,0.0,12.75,0.0,3.046274185180664,-0.4525033950805663,0.0,20.75,,,,,,,,,,,,,,,
0.0,0.0394203104078769,2.9789845943450928,-0.4499757070800115,0.0541431196033954,0.1219706311821937,-9.399132068210749e-06,0.0354358032345771,0.106605663895607,-6.2879676079319324e-06,0.0,2.947568893432617,-0.5572883605957031,0.1917510479688644,12.0,0.0,2.9000043869018555,-0.612363052368164,0.0,12.25,0.0,3.043055534362793,-0.4696695327758788,0.0,20.0,,,,,,,,,,,,,,,
0.0,0.0394203104078769,2.9789845943450928,-0.4499757070800115,0.0541431196033954,0.1219706311821937,-9.399132068210749e-06,0.0354358032345771,0.106605663895607,-6.2879676079319324e-06,0.0,2.8477907180786133,-0.7504074096679687,0.0,14.0,0.0,3.03804874420166,-0.4560796737670898,0.0,20.25,,,,,,,,,,,,,,,,,,,,
0.0,0.0336859226226806,2.9824626445770264,-0.4499773515664856,0.0463762879371643,0.1285708546638488,-1.0801883036037909e-05,0.0302807986736297,0.1142493709921836,-6.858263077447191e-06,0.0,2.981185913085937,-0.5161611557006835,0.1917510479688644,12.25,0.0,3.066658973693848,-0.4471389770507813,0.1917510479688644,12.25,0.0,2.83670425415039,-0.7704345703125,0.0,13.25,0.0,3.037691116333008,-0.4578678131103515,0.0,20.0,,,,,,,,,,
0.0,0.0398755706846714,2.98665452003479,-0.4499784983774589,0.0550413355231285,0.134811520576477,-1.2042765774822328e-05,0.0361246466636657,0.1201952397823333,-7.46637124393601e-06,0.0,3.018021583557129,-0.3473608016967773,0.1917510479688644,12.25,0.0,3.0770301818847656,-0.3402082443237304,0.1917510479688644,13.5,,,,,,,,,,,,,,,,,,,,
0.0,0.0398755706846714,2.98665452003479,-0.4499784983774589,0.0550413355231285,0.134811520576477,-1.2042765774822328e-05,0.0361246466636657,0.1201952397823333,-7.46637124393601e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0398755706846714,2.98665452003479,-0.4499784983774589,0.0550413355231285,0.134811520576477,-1.2042765774822328e-05,0.0361246466636657,0.1201952397823333,-7.46637124393601e-06,0.0,2.835988998413086,-0.771507453918457,0.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0398755706846714,2.98665452003479,-0.4499784983774589,0.0550413355231285,0.134811520576477,-1.2042765774822328e-05,0.0361246466636657,0.1201952397823333,-7.46637124393601e-06,0.0,2.845287322998047,-0.8036939620971679,0.0,12.75,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0398755706846714,2.98665452003479,-0.4499784983774589,0.0550413355231285,0.134811520576477,-1.2042765774822328e-05,0.0361246466636657,0.1201952397823333,-7.46637124393601e-06,0.0,2.8231143951416016,-0.7811634063720704,0.0,13.5,0.0,3.014445304870605,-0.6280986785888671,0.0,18.75,,,,,,,,,,,,,,,,,,,,
0.0,0.0398755706846714,2.98665452003479,-0.4499784983774589,0.0550413355231285,0.134811520576477,-1.2042765774822328e-05,0.0361246466636657,0.1201952397823333,-7.46637124393601e-06,0.0,3.054499626159668,-0.618442726135254,0.0,18.5,0.0,3.1145811080932617,-0.5626527786254881,0.0,22.5,0.0,3.1696557998657227,-0.5222408294677734,0.0,19.0,,,,,,,,,,,,,,,
0.0,0.0398755706846714,2.98665452003479,-0.4499784983774589,0.0550413355231285,0.134811520576477,-1.2042765774822328e-05,0.0361246466636657,0.1201952397823333,-7.46637124393601e-06,0.0,3.04412841796875,-0.5615798950195312,0.0,18.5,0.0,3.105282783508301,-0.4900543212890625,0.0,22.0,0.0,3.154277801513672,-0.4889814376831054,0.0,18.0,,,,,,,,,,,,,,,
0.0,0.0398755706846714,2.98665452003479,-0.4499784983774589,0.0550413355231285,0.134811520576477,-1.2042765774822328e-05,0.0361246466636657,0.1201952397823333,-7.46637124393601e-06,0.0,3.031611442565918,-0.5347578048706054,0.0,17.5,0.0,3.103494644165039,-0.4306880950927735,0.0,20.25,0.0,3.172159194946289,-0.473961067199707,0.0,17.0,,,,,,,,,,,,,,,
0.0,0.0398755706846714,2.98665452003479,-0.4499784983774589,0.0550413355231285,0.134811520576477,-1.2042765774822328e-05,0.0361246466636657,0.1201952397823333,-7.46637124393601e-06,0.0,3.036618232727051,-0.43176097869873054,0.0,18.25,0.0,3.085255622863769,-0.3326980590820312,0.0,20.75,0.0,3.1467676162719727,-0.3241149902343749,0.0,16.25,,,,,,,,,,,,,,,
