Frame count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
1,0,3.68,-0.61,0.19,-0.01,0.0,0.0,3.5,-0.5799999999999998,10.0,3.61,-0.5699999999999998,22.25,3.67,-0.61,16.25,4.02,-0.76,5.25,3.59,-0.5499999999999998,20.5,3.98,-1.0700000000000003,12.0,3.7,-0.76,19.75,3.61,-0.41000000000000003,22.25,3.64,-0.5499999999999998,24.0,3.52,-0.3199999999999999,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,3.69,-0.61,0.06,-0.03,-0.08,0.0,3.52,-0.9700000000000001,6.25,3.48,-0.7,9.75,3.41,-0.5499999999999998,4.75,3.97,-1.12,10.75,3.69,-0.76,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,3.69,-0.61,0.03,0.0,-0.12,0.01,3.66,-0.3399999999999999,4.25,3.95,-1.22,10.75,3.69,-0.73,18.25,3.5,-0.53,13.5,3.61,-0.53,23.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3.68,-0.61,-0.01,-0.0,-0.17,0.01,3.64,-0.6599999999999999,5.5,3.96,-1.2,10.0,3.69,-0.72,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,3.67,-0.63,-0.08,-0.05,-0.25,-0.01,3.51,-0.6799999999999999,7.0,3.59,-0.77,6.25,3.97,-1.12,9.25,3.5,-0.61,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,3.65,-0.5799999999999998,-0.12,0.07,-0.28,0.05,3.5,-0.1600000000000001,4.0,3.5,-0.5699999999999998,15.75,3.57,-0.5799999999999998,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,3.64,-0.5699999999999998,0.0,0.0,0.0,0.0,3.5,-0.5899999999999999,15.75,3.57,-0.5899999999999999,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,3.63,-0.5599999999999998,-0.03,0.03,-0.06,0.02,3.64,-0.4599999999999999,4.25,3.5,-0.61,17.5,3.56,-0.61,26.25,3.66,-0.6699999999999999,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,3.61,-0.51,-0.07,0.12,-0.12,0.07,3.54,-0.3399999999999999,7.75,3.61,-0.37,8.0,3.5,-0.6,16.75,3.56,-0.5899999999999999,25.5,3.59,-0.5899999999999999,25.75,3.67,-0.65,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,3.6,-0.46999999999999986,-0.11,0.21,-0.18,0.11,3.5,-0.3399999999999999,6.75,3.6,-0.37,5.0,3.5,-0.3399999999999999,6.75,3.94,-1.3000000000000005,8.25,3.5,-0.5899999999999999,16.25,3.57,-0.6,25.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,3.6,-0.4599999999999999,-0.12,0.23,-0.2,0.12,3.63,-0.46999999999999986,4.75,3.52,-0.2899999999999999,4.75,3.95,-1.2599999999999998,8.0,3.5,-0.63,16.25,3.56,-0.62,24.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,3.6,-0.4599999999999999,-0.12,0.23,-0.2,0.12,3.95,-1.22,9.0,3.49,-0.5699999999999998,15.25,3.56,-0.62,23.75,3.59,-0.64,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,3.6,-0.46999999999999986,-0.1,0.21,-0.17,0.11,3.54,-0.53,4.75,3.64,-0.5599999999999998,6.0,3.46,-0.7899999999999999,14.5,3.55,-0.72,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,3.6,-0.46999999999999986,-0.1,0.21,-0.17,0.11,3.29,-0.72,4.5,3.46,-0.77,15.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,3.6,-0.49,-0.12,0.17,-0.19,0.09,3.66,-0.61,13.5,3.71,-0.64,9.5,3.61,-0.5399999999999999,9.5,3.28,-0.7100000000000001,4.5,3.47,-0.6699999999999999,15.0,3.57,-0.62,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
