Frame count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
21,0,3.2,-0.75,-0.24,0.02,0.0,0.0,3.06,-0.9,8.0,3.17,-0.86,16.0,3.22,-0.76,16.5,3.33,-0.45,11.0,3.66,-1.3200000000000005,9.5,3.94,-1.3000000000000005,4.0,3.48,-0.9,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,3.19,-0.75,-0.09,0.0,0.09,-0.01,3.15,-0.87,6.75,3.42,-0.84,10.0,3.54,-0.84,6.25,3.32,-0.6699999999999999,9.75,3.1,-0.87,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,3.18,-0.73,-0.1,0.08,0.03,0.01,3.56,-1.56,4.25,3.46,-0.63,12.75,3.31,-0.52,15.75,3.36,-0.52,23.75,3.37,-0.52,22.5,3.07,-0.85,8.75,3.47,-0.9999999999999999,14.25,3.37,-0.5699999999999998,23.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,3.17,-0.7,-0.11,0.14,-0.02,0.03,3.04,-0.7,5.75,3.22,-0.5899999999999999,11.75,3.3,-0.6,16.0,3.34,-0.64,12.5,3.48,-1.0500000000000003,14.5,3.26,-0.64,18.25,3.34,-0.5799999999999998,24.25,3.37,-0.5599999999999998,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,3.15,-0.6799999999999999,-0.13,0.18,-0.07,0.05,2.82,-1.33,8.0,2.76,-1.1300000000000003,5.25,3.26,-0.37,12.0,3.32,-0.52,18.75,3.35,-0.51,15.25,3.51,-0.52,5.5,3.84,-1.66,9.25,3.38,-0.51,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,3.18,-0.6599999999999999,0.02,0.19,0.2,0.04,3.83,-1.69,4.25,3.66,-1.5300000000000002,6.25,3.5,-0.82,6.75,3.36,-0.5699999999999998,16.5,3.35,-0.47999999999999987,18.25,3.28,-0.31,11.25,3.83,-1.7000000000000002,9.5,3.22,-0.77,17.0,3.34,-0.53,23.0,3.38,-0.51,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,3.21,-0.72,0.1,0.02,0.32,-0.07,3.58,-1.75,6.0,3.55,-1.21,6.75,3.13,-0.82,5.0,3.32,-0.61,7.25,3.45,-0.64,8.25,3.75,-1.91,10.0,3.6,-1.69,14.75,2.94,-1.1600000000000001,13.0,2.83,-1.0500000000000003,7.0,3.18,-0.93,16.0,3.33,-0.6599999999999999,21.25,3.38,-0.5799999999999998,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,3.23,-0.69,0.17,0.07,0.36,-0.03,3.73,-1.25,6.75,3.55,-0.89,7.25,3.26,-0.52,11.0,3.32,-0.49,16.5,3.38,-0.46999999999999986,14.0,3.58,-1.7200000000000002,14.5,3.79,-1.7999999999999998,9.5,2.96,-1.1,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,3.26,-0.63,0.22,0.16,0.36,0.05,3.3,-0.49,11.5,3.37,-0.53,20.0,3.38,-0.52,19.75,3.47,-0.41000000000000003,10.25,3.59,-1.73,15.0,3.8,-1.79,9.75,2.82,-1.0700000000000003,8.25,2.96,-1.06,13.25,3.19,-0.9,16.5,3.37,-0.5699999999999998,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,3.29,-0.62,0.25,0.16,0.33,0.05,3.58,-1.35,4.5,3.4,-0.5899999999999999,22.5,3.41,-0.6,23.75,3.47,-0.62,16.0,3.32,-0.49,11.5,3.58,-1.7200000000000002,15.25,3.79,-1.83,9.75,2.95,-1.04,13.75,3.15,-0.9999999999999999,15.75,3.4,-0.6,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
