Frame count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
2,0,3.38,-0.61,-0.19,0.01,0.0,0.0,3.36,-0.5799999999999998,14.25,3.39,-0.5899999999999999,13.5,3.49,-0.77,5.5,3.27,-0.51,7.0,2.47,-2.15,5.25,3.35,-2.1399999999999997,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,3.36,-0.61,-0.19,0.02,0.0,0.0,3.51,-0.7999999999999999,5.75,3.25,-0.44,9.0,3.33,-0.5,14.25,3.39,-0.5499999999999998,12.75,2.05,-2.25,5.25,2.76,-1.7399999999999998,4.75,3.34,-2.13,5.25,3.44,-0.83,13.25,3.36,-0.64,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3.34,-0.61,-0.19,0.03,-0.0,0.0,3.31,-0.53,4.25,2.29,-1.9900000000000002,4.25,3.47,-1.8199999999999998,6.25,2.88,-1.5099999999999998,5.25,3.45,-0.83,13.5,3.36,-0.6,24.25,3.34,-0.53,26.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,3.32,-0.5799999999999998,-0.19,0.12,-0.0,0.03,3.14,-0.44,5.5,3.23,-0.2100000000000001,4.0,2.27,-2.0100000000000002,4.5,3.46,-1.8199999999999998,5.25,2.97,-1.2599999999999998,6.75,3.45,-0.83,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,3.34,-0.53,-0.04,0.22,0.27,0.06,3.53,-0.74,4.0,3.23,-0.38,11.25,3.29,-0.4,15.0,3.36,-0.43,11.25,2.21,-2.0900000000000003,4.5,3.51,-1.67,5.25,3.02,-1.1400000000000001,6.25,3.36,-0.6,23.75,3.45,-0.73,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,3.36,-0.51,0.06,0.22,0.41,0.06,3.54,-1.73,4.5,3.5,-1.08,7.5,3.25,-0.4,11.25,3.32,-0.37,15.75,3.38,-0.46999999999999986,13.5,2.29,-1.98,4.0,3.07,-0.9600000000000001,7.0,3.36,-0.5799999999999998,24.75,3.46,-0.76,14.0,3.33,-0.53,27.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,3.37,-0.4599999999999999,0.12,0.27,0.44,0.08,3.56,-0.75,4.25,3.25,-0.42000000000000004,7.25,3.32,-0.3599999999999999,12.25,3.39,-0.3599999999999999,10.0,2.81,-1.06,5.0,3.06,-0.9899999999999999,9.5,3.46,-0.74,16.0,3.29,-0.49,22.75,3.33,-0.51,28.75,3.35,-0.5399999999999999,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,3.38,-0.44,0.0,0.0,0.0,0.0,3.45,-0.87,14.75,3.29,-0.46999999999999986,23.0,3.32,-0.5,28.75,3.34,-0.5399999999999999,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,3.38,-0.44,0.0,0.0,0.0,0.0,3.46,-0.82,14.5,3.29,-0.47999999999999987,22.5,3.32,-0.51,28.25,3.35,-0.5399999999999999,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,3.39,-0.43,0.03,0.01,0.06,0.01,3.31,-0.4599999999999999,6.5,3.41,-0.3599999999999999,5.0,3.45,-0.77,15.0,3.29,-0.47999999999999987,22.75,3.33,-0.51,28.5,3.35,-0.5499999999999998,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,3.4,-0.45,0.06,-0.03,0.11,-0.02,3.42,-0.6,4.0,3.32,-0.52,5.25,2.8,-0.9600000000000001,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,3.38,-0.53,-0.01,-0.17,0.01,-0.12,2.93,-0.9700000000000001,4.25,3.17,-0.84,7.25,3.32,-0.61,11.0,3.41,-0.6,10.25,3.55,-0.6699999999999999,5.5,3.32,-0.49,26.75,3.34,-0.52,23.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,3.38,-0.5399999999999999,0.0,0.0,0.0,0.0,3.55,-1.79,12.25,3.8,-1.7799999999999998,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,3.38,-0.5399999999999999,0.0,0.0,0.0,0.0,3.48,-1.89,12.0,3.75,-1.9300000000000002,6.25,3.45,-1.23,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,3.38,-0.52,0.03,0.04,0.07,0.04,3.32,-0.53,11.5,3.23,-0.3199999999999999,6.5,3.38,-0.3399999999999999,8.75,3.51,-1.86,11.5,3.82,-1.7399999999999998,6.25,2.96,-1.1400000000000001,9.5,3.46,-1.22,12.25,3.36,-0.52,20.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,3.38,-0.53,0.02,0.02,0.03,0.02,3.42,-0.5899999999999999,13.25,3.52,-0.72,7.75,3.25,-0.51,6.0,3.37,-0.51,13.25,3.49,-1.88,11.25,3.82,-1.73,6.0,2.79,-1.12,7.25,3.0,-1.0700000000000003,10.75,3.48,-0.84,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,3.39,-0.5599999999999998,0.05,-0.05,0.09,-0.05,3.23,-0.6699999999999999,4.75,3.33,-0.75,11.25,3.36,-0.6799999999999999,9.5,3.5,-1.85,11.25,3.78,-1.86,5.5,3.78,-1.86,5.25,2.98,-1.12,12.5,3.48,-1.04,13.5,3.23,-0.75,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,3.39,-0.5699999999999998,0.0,0.0,0.0,0.0,3.77,-1.87,6.0,2.81,-1.0900000000000003,9.0,2.98,-1.1,13.75,3.48,-1.08,13.5,3.22,-0.74,19.5,3.32,-0.52,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,3.38,-0.62,-0.04,-0.09,-0.07,-0.09,3.3,-0.7899999999999999,8.5,3.38,-0.7899999999999999,6.0,3.21,-0.75,4.25,3.53,-1.81,10.75,3.82,-1.7399999999999998,5.5,2.98,-1.12,12.5,3.23,-0.6799999999999999,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,3.37,-0.61,-0.07,-0.09,-0.11,-0.08,3.59,-0.82,4.5,3.33,-0.6,7.25,3.45,-0.51,7.25,3.0,-0.9999999999999999,12.75,3.22,-0.72,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,3.37,-0.64,-0.08,-0.13,-0.13,-0.13,3.2,-0.8099999999999999,4.5,3.33,-0.7999999999999999,8.5,3.44,-0.6699999999999999,9.25,3.56,-0.69,5.75,3.19,-0.8099999999999999,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,3.36,-0.65,-0.09,-0.15,-0.13,-0.13,3.2,-0.77,5.0,3.32,-0.63,9.75,3.38,-0.6,8.25,3.55,-1.63,11.75,2.98,-1.02,14.75,3.51,-0.91,15.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,3.35,-0.6699999999999999,0.0,0.0,0.0,0.0,2.98,-1.0700000000000003,14.0,3.18,-0.89,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
