Frame count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
18,0,3.36,-0.91,-0.19,0.03,0.0,0.0,3.5,-1.0900000000000003,7.25,3.2,-0.78,6.0,3.33,-0.82,10.75,3.4,-0.9500000000000001,11.5,3.85,-1.62,6.75,3.58,-1.46,13.0,3.1,-0.8099999999999999,7.5,3.33,-0.8099999999999999,24.5,3.26,-0.76,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,3.34,-0.91,-0.19,0.03,0.0,0.0,3.45,-0.76,4.0,3.78,-1.85,7.0,3.59,-1.4300000000000002,13.25,2.82,-1.08,4.5,3.03,-0.93,11.25,3.23,-0.6599999999999999,17.25,3.32,-0.7100000000000001,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,3.32,-0.9,0.0,0.0,0.0,0.0,3.77,-1.88,7.0,2.83,-1.0900000000000003,5.0,3.19,-0.7999999999999999,19.25,3.28,-0.76,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,3.32,-0.9,0.0,0.0,0.0,0.0,3.8,-1.7999999999999998,6.5,3.49,-1.3000000000000005,18.0,3.21,-0.72,19.25,3.28,-0.69,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,3.32,-0.9,-0.03,0.04,-0.04,0.01,3.18,-0.88,6.75,3.31,-0.76,10.75,3.38,-0.76,9.5,3.81,-1.75,6.25,3.2,-0.75,19.25,3.29,-0.73,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,3.32,-0.9,0.01,-0.01,0.03,-0.01,2.93,-1.06,10.0,3.0,-0.9899999999999999,10.25,3.19,-0.78,4.25,3.4,-0.9799999999999999,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,3.33,-0.9,0.02,0.03,0.04,0.0,3.11,-0.52,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,3.32,-0.9,-0.02,-0.01,0.01,-0.0,2.91,-1.06,6.5,3.02,-1.0500000000000003,6.25,3.51,-1.2599999999999998,17.25,3.39,-0.84,19.75,3.2,-0.6799999999999999,19.25,3.28,-0.74,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,3.31,-0.91,-0.06,-0.01,-0.01,-0.0,2.79,-0.89,4.0,2.9,-0.9,6.75,3.03,-0.83,5.0,3.75,-1.9300000000000002,4.75,3.6,-1.37,11.5,3.48,-1.1600000000000001,16.25,3.38,-0.83,21.25,3.09,-0.5799999999999998,10.25,3.31,-0.6599999999999999,23.0,3.24,-0.53,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,3.31,-0.9,-0.07,-0.01,-0.02,-0.0,3.28,-0.82,5.25,3.67,-2.12,4.5,3.58,-1.39,11.0,3.46,-1.22,16.75,3.37,-0.88,21.5,3.08,-0.72,11.25,3.3,-0.72,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
