Frame count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
26,0,3.16,-0.9600000000000001,0.38,-0.06,0.0,0.0,3.13,-0.9700000000000001,11.0,3.18,-1.02,11.25,3.3,-1.0500000000000003,5.5,3.03,-0.84,4.75,3.46,-0.5899999999999999,20.5,3.62,-0.61,17.25,3.55,-0.47999999999999987,28.75,3.55,-0.53,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,3.2,-0.9700000000000001,0.0,0.0,0.0,0.0,3.17,-1.21,13.25,3.45,-0.69,20.25,3.62,-0.5699999999999998,16.25,3.54,-0.52,27.75,3.55,-0.52,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,3.2,-0.9600000000000001,-0.05,0.1,-0.04,0.02,3.59,-0.5699999999999998,15.0,3.68,-0.62,7.75,3.43,-0.51,7.25,3.56,-0.52,14.75,3.12,-1.39,12.75,3.93,-1.31,4.75,3.62,-0.5799999999999998,18.0,3.48,-0.53,21.25,3.55,-0.49,29.25,3.55,-0.52,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,3.21,-0.9,0.07,0.34,0.06,0.05,3.13,-0.9500000000000001,4.25,3.13,-0.9500000000000001,4.25,3.56,-0.38,8.0,3.38,-0.2300000000000001,7.25,3.48,-0.25,11.75,3.91,-1.42,4.75,3.46,-0.61,23.25,3.62,-0.6,18.25,3.53,-0.52,30.0,3.55,-0.53,28.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,3.26,-0.7999999999999999,0.22,0.6,0.24,0.11,3.21,-0.47999999999999987,9.25,3.33,-0.4599999999999999,11.5,3.49,-0.47999999999999987,12.75,3.58,-0.47999999999999987,12.5,3.71,-0.47999999999999987,5.25,3.84,-1.65,9.25,3.25,-0.9899999999999999,13.25,3.43,-0.74,21.5,3.52,-0.5699999999999998,27.5,3.64,-0.5799999999999998,16.75,3.56,-0.5499999999999998,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,3.29,-0.69,0.26,0.74,0.24,0.16,3.43,-0.37,7.0,3.33,-0.2999999999999999,7.25,3.83,-1.69,8.5,3.26,-0.93,13.75,3.42,-0.73,21.5,3.52,-0.5699999999999998,27.25,3.55,-0.53,26.25,3.64,-0.5499999999999998,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,3.25,-0.62,0.03,0.75,-0.32,0.18,3.69,-1.4,4.5,3.58,-0.64,6.25,3.34,-0.37,9.75,3.44,-0.3599999999999999,9.75,3.21,-0.25,6.0,3.83,-1.7000000000000002,9.0,3.27,-0.84,13.25,3.45,-0.64,21.25,3.54,-0.51,28.25,3.55,-0.5,27.5,3.63,-0.44,16.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,3.27,-0.5699999999999998,0.03,0.72,-0.31,0.14,3.96,-1.2,4.25,3.7,-1.02,6.75,3.18,-0.75,6.75,3.38,-0.53,10.0,3.51,-0.43,14.75,3.57,-0.47999999999999987,13.0,3.53,-0.49,28.75,3.54,-0.5,27.5,3.63,-0.4599999999999999,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,3.29,-0.49,0.03,0.73,-0.27,0.15,3.22,-0.5599999999999998,4.25,3.41,-0.42000000000000004,10.0,3.5,-0.51,14.25,3.55,-0.53,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,3.27,-0.5499999999999998,-0.04,0.5,-0.35,-0.08,3.17,-0.9600000000000001,7.5,3.24,-1.1100000000000003,10.75,3.38,-0.91,8.75,3.58,-0.2300000000000001,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,3.28,-0.5499999999999998,-0.05,0.4,-0.31,-0.16,3.25,-1.08,4.5,3.47,-0.52,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,3.32,-0.5599999999999998,0.04,0.3,-0.15,-0.23,3.4,-0.78,9.5,3.52,-0.62,14.5,3.68,-0.75,7.25,3.58,-0.5499999999999998,14.25,3.06,-0.9400000000000001,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
