Frame count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
2,0,2.83,0.44,0.19,0.02,0.0,0.0,2.81,0.44,14.0,2.85,0.39,14.25,2.94,0.43000000000000005,6.5,2.7,0.49,6.75,1.97,-1.54,6.5,3.41,-1.04,11.75,3.58,-0.95,9.25,3.91,-0.78,4.75,3.41,-0.42,12.75,3.25,-0.18,12.5,2.99,0.04000000000000001,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,2.84,0.44,0.19,0.05,-0.0,0.0,2.72,0.77,8.25,2.81,0.73,7.0,3.13,-0.9100000000000001,15.0,3.28,-0.8,14.5,3.37,-1.05,11.25,3.59,-0.94,8.5,3.86,-0.97,4.5,3.0,0.010000000000000009,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,2.86,0.45,0.0,0.0,0.0,0.0,3.09,-0.96,13.0,3.41,-0.95,9.5,3.58,-0.98,7.0,3.38,-0.42,12.5,3.0,0.06,14.25,2.83,0.37,20.0,2.86,0.33,21.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,2.86,0.45,-0.03,0.03,-0.03,0.0,2.72,0.72,4.25,2.0,-1.51,5.75,3.38,-1.02,8.0,3.65,-0.8,6.25,3.21,-0.47000000000000003,12.25,3.37,-0.38999999999999996,12.0,3.0,0.22,15.25,2.84,0.36,19.5,2.86,0.37,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,2.86,0.45,-0.03,0.03,-0.03,0.0,3.35,-1.05,10.5,3.51,-1.1300000000000001,7.0,3.16,-0.76,14.25,2.83,0.43000000000000005,21.75,2.85,0.42000000000000004,23.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,2.86,0.45,-0.03,0.03,-0.03,0.0,2.99,0.2,16.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,2.85,0.45,-0.05,-0.01,-0.05,-0.01,2.78,0.08000000000000002,4.0,3.57,-0.96,5.0,2.96,0.36,17.75,2.76,0.5,15.5,2.82,0.49,24.5,2.84,0.48000000000000004,25.5,3.88,1.28,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,2.85,0.45,-0.05,-0.01,-0.05,-0.01,3.58,-0.95,4.5,2.97,0.32,17.25,3.83,1.45,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2.86,0.44,0.0,-0.06,0.0,-0.01,2.81,0.23,8.25,2.85,0.15000000000000002,8.0,2.96,0.39,17.75,3.71,1.76,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,2.87,0.43000000000000005,0.05,-0.08,0.05,-0.01,2.83,0.34,11.0,2.87,0.32,11.75,2.96,0.46,5.0,3.45,-1.26,5.5,2.77,0.44,16.25,2.83,0.43000000000000005,25.75,2.83,0.44,26.0,2.95,0.38,17.75,3.74,1.7,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,2.87,0.42000000000000004,0.06,-0.14,0.07,-0.02,2.91,-0.14,4.75,3.45,-1.23,6.0,2.96,0.26,20.0,2.78,0.42000000000000004,16.75,2.84,0.39,26.75,2.85,0.38,27.75,3.67,1.8599999999999999,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,2.88,0.41000000000000003,0.09,-0.18,0.09,-0.03,2.88,0.25,13.0,2.85,0.30000000000000004,11.5,2.97,0.31,6.75,3.45,-1.24,6.0,2.96,0.25,21.0,2.86,0.32,28.5,3.68,1.8299999999999998,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,2.88,0.41000000000000003,0.11,-0.22,0.12,-0.04,2.84,0.26,13.0,2.87,0.27,14.0,2.97,0.27,7.25,3.5,-1.01,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,2.88,0.41000000000000003,0.12,-0.21,0.13,-0.04,2.8,0.4,8.25,2.85,0.47000000000000003,7.75,3.36,-0.8300000000000001,15.0,3.49,-1.07,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,2.89,0.4,0.13,-0.24,0.14,-0.04,2.99,0.14,7.75,2.84,0.38,10.75,2.89,0.30000000000000004,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,2.89,0.39,0.14,-0.28,0.15,-0.05,2.86,0.24000000000000002,16.25,2.88,0.27,18.25,2.95,0.24000000000000002,11.25,2.74,0.41000000000000003,6.25,2.8,0.25,15.25,2.87,0.22,27.0,2.87,0.21000000000000002,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
