Frame count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
1,0,2.75,0.14,-0.19,0.0,0.0,0.0,3.02,-1.06,4.25,2.6,0.04000000000000001,6.5,2.89,0.09000000000000001,7.5,2.72,0.16,20.75,2.74,0.21000000000000002,25.0,2.76,0.24000000000000002,21.0,3.56,1.66,5.25,1.83,-1.35,4.25,2.94,-1.04,14.75,3.09,-0.9299999999999999,18.25,3.21,-0.78,13.25,3.48,-0.53,6.0,2.74,0.24000000000000002,17.25,2.74,0.31,24.75,2.73,0.51,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,2.73,0.15000000000000002,-0.18,0.06,0.01,0.01,3.04,-0.9000000000000001,5.0,2.94,-0.03999999999999998,8.25,2.58,0.42000000000000004,9.0,2.77,0.41000000000000003,18.25,2.68,0.46,20.75,2.71,0.46,23.5,3.16,-1.4200000000000002,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,2.71,0.17,-0.15,0.15,0.04,0.02,3.12,-0.78,8.0,3.0,-0.24,7.25,2.57,0.41000000000000003,10.25,2.66,0.43000000000000005,20.25,2.68,0.46,21.25,2.75,0.5,15.0,2.99,-0.9200000000000002,14.5,3.07,-0.98,18.75,3.11,-1.07,15.0,3.28,-1.18,7.5,3.69,-0.79,6.25,2.6,0.38,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,2.72,0.23,-0.05,0.28,0.25,0.06,2.74,-1.6400000000000001,4.25,2.89,0.03,6.25,2.59,0.42000000000000004,18.75,2.65,0.4,28.25,2.66,0.38,29.25,2.72,0.36,21.5,2.96,-0.94,14.75,3.07,-1.0,19.0,3.13,-1.02,15.25,3.37,-0.94,6.5,3.85,-0.99,4.75,3.69,-0.79,6.0,2.59,0.45,13.0,2.67,0.41000000000000003,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,2.73,0.29000000000000004,0.03,0.38,0.34,0.1,3.11,-0.8800000000000001,9.0,3.28,-0.8300000000000001,7.0,3.06,-0.16999999999999998,7.75,2.56,0.42000000000000004,6.25,2.66,0.49,16.75,2.65,0.53,17.75,2.75,0.5800000000000001,9.75,3.76,0.8,5.0,3.75,0.8,5.0,3.53,1.1,5.5,2.95,-0.98,15.0,3.09,-0.95,19.5,3.14,-0.94,15.25,3.41,-0.78,5.5,3.7,-0.79,5.25,3.87,-0.9000000000000001,4.0,2.6,0.42000000000000004,12.25,2.68,0.38,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,2.72,0.30000000000000004,0.0,0.32,0.18,0.06,3.16,-1.0,8.25,3.07,-0.8600000000000001,13.75,3.02,-0.6299999999999999,11.25,2.86,0.26,12.75,2.67,0.5800000000000001,10.75,2.74,0.48000000000000004,15.0,3.5,1.82,5.25,2.95,-0.8400000000000001,15.5,3.08,-0.9299999999999999,19.75,3.16,-0.9000000000000001,15.0,3.86,-0.94,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,2.73,0.37,0.06,0.4,0.27,0.11,3.02,-1.05,9.25,3.13,-1.1,4.0,2.92,-0.79,5.75,3.76,-0.74,5.75,3.9,-0.81,4.25,2.58,0.44,8.75,2.69,0.45,22.75,2.74,0.43000000000000005,16.5,2.68,0.47000000000000003,20.75,3.05,-0.99,20.5,2.95,-0.8300000000000001,15.75,3.15,-0.9200000000000002,15.25,3.87,-0.9100000000000001,6.25,3.48,1.8,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,2.73,0.31,0.02,0.21,0.13,-0.06,3.0,-1.03,7.25,2.95,-0.51,8.25,2.71,0.16,12.25,2.76,0.18000000000000002,16.75,2.82,0.17,14.25,3.07,-0.95,22.5,2.96,-0.8200000000000001,19.5,3.19,-0.8500000000000001,17.75,3.49,-0.6000000000000001,11.25,3.44,1.89,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,2.73,0.31,0.05,0.18,0.16,-0.08,2.74,0.17,5.5,3.06,-0.95,22.75,2.95,-0.8700000000000001,20.0,3.16,-0.9000000000000001,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2.74,0.31,0.08,0.13,0.18,-0.12,2.7,0.23,16.5,2.73,0.23,19.75,2.77,0.25,15.25,2.57,0.29000000000000004,5.75,2.9,0.75,4.0,3.05,-1.0,22.5,2.95,-0.8700000000000001,19.5,3.16,-0.8900000000000001,18.0,2.68,0.38,28.75,2.7,0.36,30.75,2.75,0.36,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
