Frame count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
4,0,2.67,0.49,-0.19,-0.02,0.0,0.0,2.55,0.31,4.0,2.67,0.5700000000000001,14.5,2.7,0.5700000000000001,18.0,2.75,0.51,13.0,3.18,-1.09,13.25,3.11,-0.9000000000000001,15.25,3.88,-0.8800000000000001,7.0,3.63,-0.39999999999999997,11.5,3.71,-0.5800000000000001,11.25,3.01,-0.22999999999999998,11.25,2.68,0.6000000000000001,18.0,2.72,0.55,22.0,2.77,0.53,19.75,2.56,0.63,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,2.66,0.48000000000000004,-0.05,-0.04,0.08,0.01,2.85,0.07,5.5,2.75,0.27,8.25,2.61,0.5900000000000001,5.25,3.09,-0.96,15.25,3.18,-1.07,12.5,3.87,-0.9100000000000001,7.0,2.98,-0.34,11.0,3.71,-0.6199999999999999,11.0,3.64,-0.33,11.0,2.6,0.44,5.25,2.71,0.43000000000000005,20.0,2.72,0.43000000000000005,24.25,2.76,0.43000000000000005,20.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,2.66,0.44,-0.07,-0.23,0.02,-0.04,2.96,-0.20999999999999996,4.25,2.76,0.020000000000000018,14.5,2.81,-0.009999999999999981,12.25,2.7,0.18000000000000002,9.5,3.7,-0.6000000000000001,10.75,3.64,-0.31,10.75,2.7,0.44,20.0,2.72,0.44,24.25,2.75,0.45,20.5,2.6,0.46,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,2.65,0.39,-0.08,-0.35,-0.03,-0.08,2.72,0.15000000000000002,13.75,2.76,0.14,19.0,2.78,0.18000000000000002,15.75,3.6,-0.36999999999999994,11.75,2.6,0.45,4.5,2.7,0.45,19.5,2.71,0.45,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,2.66,0.33,0.01,-0.42,0.13,-0.09,2.68,0.28,11.75,2.72,0.26,14.5,2.78,0.25,9.5,3.68,-0.6000000000000001,12.0,3.61,-0.33,13.25,2.71,0.47000000000000003,29.0,2.75,0.49,24.0,3.93,1.09,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,2.66,0.34,0.0,-0.31,0.1,-0.04,2.9,-0.12,4.0,2.55,0.73,4.0,2.64,0.81,4.0,3.58,-0.38999999999999996,11.75,3.69,-0.5700000000000001,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2.69,0.23,0.09,-0.47,0.2,-0.13,2.97,-1.54,9.25,3.05,-1.6300000000000001,4.5,3.04,-1.22,8.25,3.01,-0.6199999999999999,4.25,2.77,0.17,8.75,2.86,0.17,7.25,3.52,-0.6399999999999999,11.5,3.68,-0.6699999999999999,10.5,3.8,1.53,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,2.68,0.29000000000000004,0.02,-0.28,0.03,0.02,3.13,-0.79,5.5,3.23,-0.9299999999999999,4.25,2.9,0.36,8.25,2.59,0.5,8.25,2.69,0.56,21.75,2.72,0.53,25.75,2.75,0.48000000000000004,21.25,3.6,-0.2,12.0,3.76,1.65,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,2.69,0.29000000000000004,0.07,-0.21,0.1,0.07,3.06,-1.06,5.5,3.13,-1.1600000000000001,4.0,2.69,0.39,10.75,2.75,0.43000000000000005,15.25,2.8,0.48000000000000004,12.5,3.55,-0.45,12.25,3.72,1.73,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,2.7,0.24000000000000002,0.03,-0.27,-0.02,0.02,3.13,-0.6399999999999999,4.25,3.01,-0.21999999999999997,6.25,2.87,0.14,10.25,2.77,0.43000000000000005,11.0,2.66,0.54,6.5,3.5,-0.69,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
