tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11,pointx12,pointy12,pointz12,doppler12,snr12,pointx13,pointy13,pointz13,doppler13,snr13,pointx14,pointy14,pointz14,doppler14,snr14,pointx15,pointy15,pointz15,doppler15,snr15,pointx16,pointy16,pointz16,doppler16,snr16,pointx17,pointy17,pointz17,doppler17,snr17
0.0,-0.014994421042501926,1.4084434509277344,0.02458675391972065,0.0025511239655315876,-0.23963004350662231,-0.004183146636933088,0.0,0.0,0.0,0.0,1.2491941452026367,0.007510185241699219,-0.3835020959377289,18.75,0.0,1.273512840270996,0.2760887145996094,-0.3835020959377289,24.25,0.0,1.2649297714233398,0.47850608825683594,-0.3835020959377289,24.5,0.0,1.3085603713989258,0.5489587783813477,-0.3835020959377289,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.015068447217345238,1.3823578357696533,0.023471692577004433,-0.0007517826743423939,-0.26148346066474915,-0.011194076389074326,-0.00023043117835186422,-0.012538153678178787,-0.0008690657559782267,0.0,0.91552734375,0.006079673767089844,-0.3835020959377289,13.25,0.0,1.2170076370239258,0.03254413604736328,-0.3835020959377289,23.75,0.0,2.98154354095459,0.022172927856445312,-0.3835020959377289,15.5,0.0,1.2409687042236328,0.06437301635742188,-0.3835020959377289,25.25,0.0,1.2924671173095703,0.07832050323486328,-0.19175104796886444,19.75,0.0,3.002643585205078,0.10013580322265625,-0.3835020959377289,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.037728939205408096,1.3539453744888306,0.020538154989480972,-0.11602485924959183,-0.2758174240589142,-0.020539378747344017,-0.023577995598316193,-0.03339854255318642,-0.002964126644656062,0.0,1.4058351516723633,-0.24068355560302734,-0.19175104796886444,12.75,0.0,1.318216323852539,-0.07796287536621094,-0.19175104796886444,23.25,0.0,0.91552734375,-0.011444091796875,-0.19175104796886444,16.5,0.0,1.2073516845703125,-0.0057220458984375,-0.19175104796886444,25.75,0.0,1.2520551681518555,-0.010371208190917969,-0.3835020959377289,27.0,0.0,1.3203620910644531,-0.04935264587402344,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.09691104292869568,1.3205561637878418,0.015568369999527931,-0.2838749289512634,-0.30613642930984497,-0.03104042261838913,-0.07232971489429474,-0.08856634795665741,-0.0065291086211800575,0.0,1.1143684387207031,-0.5128383636474609,-0.19175104796886444,18.5,0.0,1.1508464813232422,-0.6158351898193359,-0.19175104796886444,14.25,0.0,0.91552734375,0.001430511474609375,-0.19175104796886444,12.5,0.0,2.8960704803466797,-0.08296966552734375,-0.3835020959377289,12.5,0.0,1.1601448059082031,0.043272972106933594,-0.19175104796886444,19.0,0.0,1.2066364288330078,0.3218650817871094,0.19175104796886444,21.0,0.0,1.2660026550292969,0.37980079650878906,0.19175104796886444,18.75,0.0,1.370072364807129,0.0032186508178710938,0.0,21.5,0.0,2.978682518005371,0.04398822784423828,0.0,12.75,0.0,3.0459165573120117,0.0400543212890625,0.0,12.0,0.0,1.3146400451660156,0.06759166717529297,0.0,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0078449547290802,1.2920068502426147,0.008723474107682705,0.0724959671497345,-0.3113546669483185,-0.04174458980560303,0.07774591445922852,-0.10214583575725555,-0.010434450581669807,0.0,1.841425895690918,-1.2159347534179688,0.19175104796886444,12.5,0.0,0.91552734375,-0.00858306884765625,0.19175104796886444,20.75,0.0,1.165151596069336,-0.0007152557373046875,0.19175104796886444,28.25,0.0,1.1826753616333008,0.01895427703857422,0.19175104796886444,27.0,0.0,1.256704330444336,0.06008148193359375,0.19175104796886444,19.0,0.0,1.6450881958007812,-1.2978315353393555,0.0,13.5,0.0,1.6658306121826172,-1.3986825942993164,0.0,17.0,0.0,1.6862154006958008,-1.4884471893310547,0.0,14.75,0.0,1.4483928680419922,-0.377655029296875,0.0,15.0,0.0,2.9790401458740234,0.054001808166503906,0.0,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.025687798857688904,1.25662100315094,0.0030709903221577406,0.10361835360527039,-0.3319520950317383,-0.04604976251721382,0.0895959660410881,-0.11401062458753586,-0.012075457721948624,0.0,1.62506103515625,-1.2863874435424805,-0.19175104796886444,12.25,0.0,1.7434358596801758,-1.3207197189331055,-0.19175104796886444,14.0,0.0,1.2813806533813477,-0.4405975341796875,0.19175104796886444,24.5,0.0,1.3543367385864258,-0.5031824111938477,0.19175104796886444,16.75,0.0,1.2481212615966797,-0.3046989440917969,0.19175104796886444,25.5,0.0,1.1955499649047852,-0.12981891632080078,0.19175104796886444,24.5,0.0,0.9130239486694336,-0.06651878356933594,0.19175104796886444,16.0,0.0,1.3071298599243164,0.4334449768066406,0.19175104796886444,21.5,0.0,1.3725757598876953,0.42629241943359375,0.19175104796886444,12.75,0.0,1.6475915908813477,-1.4165639877319336,0.0,16.0,0.0,1.6998052597045898,-1.4727115631103516,0.0,14.0,0.0,1.4405250549316406,-0.37086009979248047,0.0,14.75,0.0,2.980470657348633,0.05078315734863281,0.0,12.5,0.0,3.041982650756836,0.056862831115722656,0.0,12.25,,,,,,,,,,,,,,,
0.0,0.005651060491800308,1.2322157621383667,-0.0015274531906470656,0.049380138516426086,-0.3059599697589874,-0.047270867973566055,0.049903739243745804,-0.03848449885845184,-0.012492778711020947,0.0,1.6336441040039062,-1.3203620910644531,0.19175104796886444,15.75,0.0,1.7130374908447266,-1.3196468353271484,0.19175104796886444,18.25,0.0,1.7995834350585938,-1.2946128845214844,0.19175104796886444,12.75,0.0,1.416921615600586,-0.5578994750976562,0.19175104796886444,13.25,0.0,1.283884048461914,-0.4069805145263672,0.19175104796886444,17.75,0.0,1.2180805206298828,-0.13554096221923828,0.19175104796886444,22.75,0.0,1.1991262435913086,-0.09262561798095703,0.19175104796886444,21.5,0.0,1.7237663269042969,-1.430511474609375,0.0,15.75,0.0,3.0241012573242188,0.21135807037353516,0.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.008335699327290058,1.2278993129730225,-0.004847207106649876,0.01603754237294197,-0.20648235082626343,-0.04663980007171631,0.018185757100582123,0.15902486443519592,-0.013122407719492912,0.0,1.5982389450073242,-1.3414621353149414,-0.19175104796886444,13.0,0.0,1.633286476135254,-1.4104843139648438,-0.19175104796886444,15.0,0.0,1.4494657516479492,0.21278858184814453,0.19175104796886444,17.75,0.0,1.4187097549438477,0.2893209457397461,0.19175104796886444,23.75,0.0,1.387953758239746,0.3991127014160156,0.19175104796886444,20.0,0.0,1.7023086547851562,-1.3904571533203125,0.0,18.5,0.0,1.7209053039550781,-1.4601945877075195,0.0,16.75,0.0,3.0080080032348633,0.22709369659423828,0.0,12.25,0.0,1.3200044631958008,0.20563602447509766,0.0,22.25,0.0,1.3943910598754883,0.2567768096923828,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.02999645471572876,1.2413090467453003,-0.007562598213553429,-0.03123157098889351,-0.06687891483306885,-0.04589371755719185,-0.032593175768852234,0.38058096170425415,-0.014278026297688484,0.0,1.2427568435668945,-0.034332275390625,0.19175104796886444,14.25,0.0,1.289963722229004,-0.010013580322265625,0.19175104796886444,18.5,0.0,1.3575553894042969,0.13053417205810547,0.19175104796886444,16.75,0.0,1.4061927795410156,0.2110004425048828,0.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.07162714004516602,1.261132001876831,-0.007973596453666687,-0.11813832819461823,0.05762658640742302,-0.040472567081451416,-0.12623701989650726,0.5259846448898315,-0.009548846632242203,0.0,1.749873161315918,-1.3579130172729492,0.19175104796886444,16.25,0.0,1.7913579940795898,-1.3968944549560547,0.19175104796886444,14.0,0.0,1.2470483779907227,-0.1316070556640625,0.19175104796886444,19.75,0.0,1.259922981262207,-0.1423358917236328,0.19175104796886444,23.75,0.0,1.2813806533813477,-0.15413761138916016,0.19175104796886444,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
